Abstract,Search
" In order to quantitatively characterize the epidemic of COVID-19, useful relations among parameters describing an epidemic in general are derived based on the Kermack-McKendrick model. The first relation is 1/τ grow =1/τ trans −1/τ inf , where τ grow is the time constant of the exponential growth of an epidemic, τ trans is the time for a pathogen to be transmitted from one patient to uninfected person, and the infectious time τ inf is the time during which the pathogen keeps its power of transmission. The second relation p(∞ ) ≈ 1− exp(− (R 0 − 1)/0.60) is the relation between p(∞ ), the final size of the disaster defined by the ratio of the total infected people to the population of the society, and the basic reproduction number, R 0 , which is the number of persons infected by the transmission of the pathogen from one infected person during the infectious time. The third relation 1/τ end =",Relations of parameters for describing the epidemic of COVID-19 by the Kermack-McKendrick model
" Objective: The emerging and recent 2014 Ebola Virus Disease (EVD) outbreaks rang the bell to call upon efforts from globe to assist resource-constrained countries to strengthen public health surveillance system for early response. Malawi adopted the Integrated Disease Surveillance and Response (IDSR) strategy to develop its national surveillance system since 2002 and revised its guideline to fulfill the International Health Regulation (IHR) requirements in 2014. This study aimed to understand the state of IDSR implementation and differences between guideline and practice for future disease surveillance system strengthening. Methods: This was a mixed-method observational study. Quantitative data were to analyze completeness and timeliness of surveillance system performance from national District Health Information System 2 (DHIS2). Qualitative data were collected through interviews with 29 frontline health service providers from the selected district and key informants of the IDSR system implementation and administration at district and national levels. Findings: The current IDSR system showed relatively good completeness (76.4%) but poor timeliness (41.5%) of total expected monthly reports nationwide and zero weekly reports. The challenges of IDSR implementation revealed through qualitative data included lack of supervision, inadequate resources for training and difficulty to implement weekly report due to overwhelming paperwork at frontline health services. Conclusions: The differences between IDSR technical guideline and actual practice were huge. The developing information technology infrastructure in Malawi and emerging mobile health (mHealth) technology can be opportunities for the country to overcome these challenges and improve surveillance system to have better timeliness for the outbreaks and unusual events detection.",Title: Integrated Disease Surveillance and Response (IDSR) in Malawi: Implementation Gaps and Challenges for Timely Alert Submit journal: PLoS ONE
" The respiratory syndrome caused by a new type of coronavirus has been emerging from 2 China and caused more than 1000 death globally since December 2019. This new virus, 3 called 2019 novel coronavirus (2019-nCoV) uses the same receptor called Angiotensin-4 converting enzyme 2 (ACE2) to attack humans as the coronavirus that caused the severe 5 acute respiratory syndrome (SARS) seventeen years ago. Both viruses recognize ACE2 6 through the spike proteins (S-protein) on their surfaces. It was found that the S-protein 7 from the SARS coronavirus (SARS-CoV) bind stronger to ACE2 than 2019-nCoV. 8 However, function of a bio-system is often under kinetic, rather than thermodynamic, 9 control. To address this issue, we constructed a structural model for complex formed 10 between ACE2 and the S-protein from 2019-nCoV, so that the rate of their association 11 can be estimated and compared with the binding of S-protein from SARS-CoV by a 12 multiscale simulation method. Our simulation results suggest that the association of new 13 virus to the receptor is slower than SARS, which is consistent with the experimental data 14 obtained very recently. We further integrated this difference of association rate between 15 virus and receptor into a mathematical model which describes the life cycle of virus in 16 host cells and its interplay with the innate immune system. Interestingly, we found that 17 the slower association between virus and receptor can result in longer incubation period, 18 while still maintaining a relatively higher level of viral concentration in human body. Our 19 computational study therefore provides, from the molecular level, one possible 20 explanation that the new disease by far spread much faster than SARS. 21 22 23 24 25 26 27 author/funder. All rights reserved. No reuse allowed without permission.",A Multiscale and Comparative Model for Receptor Binding of 2019 Novel Coronavirus and the Implication of its Life Cycle in Host Cells
" The COVID-19 outbreak containment strategies in China based on non-pharmaceutical interventions (NPIs) appear to be effective. Quantitative research is still needed however to assess the efficacy of different candidate NPIs and their timings to guide ongoing and future responses to epidemics of this emerging disease across the World. We built a travel network-based susceptible-exposed-infectious-removed (SEIR) model to simulate the outbreak across cities in mainland China. We used epidemiological parameters estimated for the early stage of outbreak in Wuhan to parameterise the transmission before NPIs were implemented. To quantify the relative effect of various NPIs, daily changes of delay from illness onset to the first reported case in each county were used as a proxy for the improvement of case identification and isolation across the outbreak. Historical and near-real time human movement data, obtained from Baidu location-based service, were used to derive the intensity of travel restrictions and contact reductions across China. The model and outputs were validated using daily reported case numbers, with a series of sensitivity analyses conducted. We estimated that there were a total of 114,325 COVID-19 cases (interquartile range [IQR] 76,776 -164,576) in mainland China as of February 29, 2020, and these were highly correlated (p<0.001, R 2 =0.86) with reported incidence. Without NPIs, the number of COVID-19 cases would likely have shown a 67-fold increase (IQR: 44 -94), with the effectiveness of different interventions varying. The early detection and isolation of cases was estimated to prevent more infections than travel restrictions and contact reductions, but integrated NPIs would achieve the strongest and most rapid effect. If NPIs could have been conducted one week, two weeks, or three weeks earlier in China, cases could have been reduced by 66%, 86%, and 95%, respectively, together with significantly reducing the number of affected areas. However, if NPIs were conducted one week, two weeks, or three weeks later, the number of cases . CC-BY-NC-ND 4.0 International license It is made available under a author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed) The copyright holder for this preprint .",Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak: an observational and modelling study
 Since the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease,Title: ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan
" The condent high-throughput identication of small molecules remains one of the most challenging tasks in mass spectrometry-based metabolomics. SIRIUS has become a powerful tool for the interpretation of tandem mass spectra, and shows outstanding performance for identifying the molecular formula of a query compound, being the rst step of structure identication. Nevertheless, the identication of both molecular formulas for large compounds above 500 Daltons and novel molecular formulas remains highly challenging. Here, we present ZODIAC, a network-based algorithm for the de novo estimation of molecular formulas. ZODIAC reranks SIRIUS' molecular formula candidates, combining fragmentation tree computation with Bayesian statistics using Gibbs sampling. Through careful algorithm engineering, ZODIAC's Gibbs sampling is very swift in practice. ZODIAC decreases incorrect annotations 16.2-fold on a challenging plant extract dataset with most compounds above 700 Dalton; we then show improvements on four additional, diverse datasets. Our analysis led to the discovery of compounds with novel molecular formulas such as C 24 H 47 BrNO 8 P which, as of today, is not present in any publicly available molecular structure databases. Metabolomics characterizes metabolites with high-throughput techniques. In the past decade, liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) became widely adopted by the metabolomics community as a powerful and sensitive analytical platform, but yet only a fraction of the detected compounds can be eectively annotated, even partially. In untargeted LC-MS/MS experiments, thousands of metabolites can be detected and fragmented from a single biological sample. The measured fragmentation spectra (MS/MS spectra) are then used to examine the metabolite's structure. But condent high-throughput annotation of those MS/MS spectra remains highly challenging; this prevents the building of comprehensive knowledge in elds where metabolomics has become central, such as biomedical research, natural products drug discovery 1 , environmental science, and food science. Tandem mass spectrometry data is often searched against spectral libraries 2 ; unfortunately, spectral libraries are of limited size, in particular when it comes to biomolecules 3 . Although public spectral libraries are being expanded, only a fraction of acquired MS/MS spectra can be annotated by spectral library searches 1,46 . Computational methods have been developed that do not search in spectral libraries but rather in molecular structure databases 7 . Among these methods, CSI:FingerID 8 has repeatedly shown the . doi: bioRxiv preprint 2 Ludwig, Nothias, Dührkop, et al. best performance 912 . One reason for CSI:FingerID's improved performance is the integration of SIRIUS 10 , deducing the molecular formula of each query as the rst step of its analysis. Other tools lter candidates using the query precursor mass, reducing molecular formula annotation to a byproduct. This worsens identication rates 11 and can result in severe hidden prior problems 13,14 . Identifying the molecular formula is also the very rst step in structural elucidation using Nuclear Magnetic Resonance (NMR) or X-ray crystallography, guiding data interpretation based on atoms and unsaturation degree. The condent annotation of molecular formulas from mass spectrometry data is far from trivial, especially if executed de novo (without a structure database): Here, the number of candidate molecular formula grows rapidly with the compound size and elements beyond CHNOPS. To counter this growth, one can use heuristic constraints 15 or use only molecular formulas from some structure database 16,17 . Restricting the search space will improve the performance of a method in evaluation, but will prevent the discovery of novel molecular formulas in application. Arguably the best-performing computational method for molecular formula annotation is SIRIUS 4 10 , which combines isotope pattern matching 15,1823 and MS/MS fragmentation tree computation 22,2426 . SIRIUS reaches best-of-class performance without ltering or meta-scores 24 . But even SIRIUS has problems annotating molecular formula for compounds above 500 Da: Böcker & Dührkop 24 found that the percentage of correctly identied molecular formulas dropped substantially for larger masses. An alternative approach to annotate molecular formulas for a complete LC-MS run uses Gibbs sampling and Bayesian statistics, utilizing co-occurrence of molecular formulas diering by a predened set of biotransformations 2730 . Implicitly, these approaches try to identify molecular structures (or their isomers) from a restricted structure database, and cannot annotate novel molecular formulas. Network visualization approaches which connect compounds by hypothetical biotransformations and common chemical functional groups have been demonstrated to ease manual molecular formula annotation 31 . Independently, network-based methods were developed for structural elucidation and dereplication 1,32,33 . All of these approaches are based on the fact that compounds in an LC-MS run usually co-occur in a network of derivatives. We present ZODIAC (ZODIAC: Organic compound Determination by Integral Assignment of elemental Compositions) for condent, database-independent molecular formula annotation in LC-MS/MS data. ZODIAC takes advantage of the fact that an organism produces related metabolites that are derived from multiple, but limited, biosynthetic pathways. ZODIAC builds upon SIRIUS and uses, say, the top 50 molecular formula annotations from SIRIUS as candidates for one compound. ZODIAC then reranks molecular formula candidates using Bayesian statistics. Prior probabilities are derived from fragmentation tree similarity, which supports reciprocal plausibility within an LC-MS/MS dataset. On the theoretical side, we establish that nding an optimal solution to the resulting computational problem is non-deterministic polynomial time (NP)-hard; to this end, we resort to Gibbs sampling. Using extensive algorithm engineering, Gibbs sampling running times were reduced to a practical level. To boost robustness, ZODIAC can integrate spectral library search hits. We show that ZODIAC improves molecular formula annotation on a diverse set of biological samples. Furthermore, ZODIAC scores allow us to rank molecular formula annotations by condence. ZODIAC is not limited to molecular formulas from some structure database, allowing us to discover novel molecular formulas not present in any structural databases. ZODIAC was evaluated on ve diverse datasets representing samples from plants, human plasma, marine microalgae and mice fecal sample, see Supplementary Table 1, 5 and 6 and Supplementary Fig. 6. Input mzML/mzXML les were processed with OpenMS 34 and low-quality MS/MS spectra .",ZODIAC: database-independent molecular formula annotation using Gibbs sampling reveals unknown small molecules
" Aim: The new coronavirus pneumonia outbreaking at the end of 2019 is highly contagious. Crude mortality rate reached 49% in critical patients. Inflammation matters on disease progression. This study analyzed blood inflammation indicators among mild, severe and critical patients, helping to identify severe or critical patients early.",Correlation Analysis Between Disease Severity and Inflammation-related Parameters in Patients with COVID-19 Pneumonia
" Before the lock-down of Wuhan/Hubei/China, on January 23 rd 2020, a large number of individuals infected by COVID-19 moved from the epicenter Wuhan and the Hubei province due to the Spring Festival, resulting in an epidemic in the other provinces including the Shaanxi province. The epidemic scale in Shaanxi was comparatively small and with half of cases being imported from the epicenter. Based on the complete epidemic data including the symptom onset time and transmission chains, we calculate the control reproduction number (1.48-1.69) in Xi'an. We could also compute the time transition, for each imported or local case, from the latent, to infected, to hospitalized compartment, as well as the effective reproduction number. This calculation enables us to revise our early deterministic transmission model to a stochastic discrete epidemic model with case importation and parameterize it. Our model-based analyses reveal that the newly generated infections decay to zero quickly; the cumulative number of case-driven quarantined individuals via contact tracing stabilize at a manageable level, indicating that the intervention strategies implemented in the Shaanxi province have been effective. Risk analyses, important for the consideration of ""resumption of work"", show that a large second outbreak is expected if the level of case importation remains at the same level as between January 10 th and February 4 th 2020. However, if the case importation decreases by 30%, 60% and 90%, the second outbreak if happening will be of small-scale assuming contact tracing and quarantine/isolation remain as effective as before. Finally, we consider the effects of intermittent inflow with a Poisson distribution on the likelihood of multiple outbreaks. We believe the developed methodology and stochastic model provide an important model framework for the evaluation of revising travel restriction rules in the consideration of resuming social-economic activities while managing the disease control with potential case importation.",Stochastic discrete epidemic modeling of COVID-19 transmission in the Province of Shaanxi incorporating public health intervention and case importation
" The outbreak of the 2019 Novel Coronavirus (2019-nCoV) has rapidly spread from Wuhan, China to multiple countries, causing staggering number of infections and deaths. A systematic profiling of the immune vulnerability landscape of 2019-nCoV is lacking, which can bring critical insights into the immune clearance mechanism, peptide vaccine development, and antiviral antibody development. In this study, we predicted the potential of all the 2019-nCoV viral proteins to induce class I and II MHC presentation and form linear antibody epitopes. We showed that the enrichment for T cell and B cell epitopes is not uniform on the viral genome, with several focused regions that generate abundant epitopes and may be more targetable. We showed that genetic variations in 2019-nCoV, though fewer for the moment, already follow the pattern of mutations in related coronaviruses, and could alter the immune vulnerability landscape of this virus, which should be considered in the development of therapies. We create an online database to broadly share our research outcome. Overall, we present an immunological resource for 2019-nCoV that could significantly promote both therapeutic development and mechanistic research.",Profiling the immune vulnerability landscape of the 2019 Novel Coronavirus
" The exported cases of 2019 novel coronavirus infection that were confirmed outside of China provide an opportunity to estimate the cumulative incidence and confirmed case fatality risk (cCFR) in mainland China. Knowledge of the cCFR is critical to characterize the severity and understand the pandemic potential of COVID-19 in the early stage of the epidemic. Using the exponential growth rate of the incidence, the present study statistically estimated the cCFR and the basic reproduction number-the average number of secondary cases generated by a single primary case in a naïve population. We modeled epidemic growth either from a single index case with illness onset on 8 December, 2019 (Scenario 1), or using the growth rate fitted along with the other parameters (Scenario 2) based on data from 20 exported cases reported by 24 January, 2020. The cumulative incidence in China by 24 January was estimated at 6924 cases (95% CI: 4885, 9211) and 19,289 cases (95% CI: 10,901, 30,158), respectively. The latest estimated values of the cCFR were 5.3% (95% CI: 3.5%, 7.5%) for Scenario 1 and 8.4% (95% CI: 5.3%, 12.3%) for Scenario 2. The basic reproduction number was estimated to be 2.1 (95% CI: 2.0, 2.2) and 3.2 (95% CI: 2.7, 3.7) for Scenarios 1 and 2, respectively. Based on these results, we argued that the current COVID-19 epidemic has a substantial potential for causing a pandemic. The proposed approach provides insights in early risk assessment using publicly available data.",Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases
" The World Health Organization (WHO) has declared the 2019 novel coronavirus (2019-nCoV) infection outbreak a global health emergency. Currently, there is no effective anti-2019-nCoV medication. The sequence identity of the 3CL proteases of 2019-nCoV and SARS is 96%, which provides a sound foundation for structural-based drug repositioning (SBDR). Based on a SARS 3CL protease X-ray crystal structure, we construct a 3D homology structure of 2019-nCoV 3CL protease. Based on this structure and existing experimental datasets for SARS 3CL protease inhibitors, we develop an SBDR model based on machine learning and mathematics to screen 1465 drugs in the DrugBank that have been approved by the U.S. Food and Drug Administration (FDA). We found that many FDA approved drugs are potentially highly potent to 2019-nCoV.",Potentially highly potent drugs for 2019-nCoV
" 20 E-probe Diagnostic for Nucleic acid Analysis (EDNA) is a bioinformatic tool originally 21 developed to detect plant pathogens in metagenomic databases. However, 22 enhancements made to EDNA increased its capacity to conduct hypothesis directed 23 detection of specific gene targets present in transcriptomic databases. To target specific 24 pathogenicity factors used by the pathogen to infect its host or other targets of interest, 25 e-probes need to be developed for transcripts related to that function. In this study, 26 EDNA transcriptomics (EDNAtran) was developed to detect the expression of genes 27 related to aflatoxin production at the transcriptomic level. E-probes were designed from 28 genes up-regulated during A. flavus aflatoxin production. EDNAtran detected gene 29 transcripts related to aflatoxin production in a transcriptomic database from corn, where 30 aflatoxin was produced. The results were significantly different from e-probes being 31 used in the transcriptomic database where aflatoxin was not produced (atoxigenic AF36 32 strain and toxigenic AF70 in Potato Dextrose Broth). 33 34 Maize [1], peanuts [2], tree nuts, dried spices [3] and cottonseed [4] are crops that can 35 be infected during the pre-harvest, post-harvest and/or storage period with Aspergillus 36 flavus Link. This fungus produces polyketide secondary metabolites named aflatoxins. 37",Inferring the presence of aflatoxin-producing Aspergillus flavus strains using 3 RNA sequencing and electronic probes as a transcriptomic screening tool 4 5 6
