Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
"Of the patients we observed, all the population was susceptible to COVID-19. Most cases were moderate type, and only 0.41% was asymptomatic. The COVID-19 infection was of family clustering onset outside of Wuhan, which indicates the suspected or mild patients may have the risk of spreading disease if they stay at home.",2020-03-24,2.0,82.0,41.0,16.0,Epidemiological Features of Coronavirus Disease 2019 (COVID-19) in a Province Outside of Wuhan,11.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552842
"The optimistic scenario (non-Hubei model, daily increment rate of -3.87%), the relative pessimistic scenario (Hubei model, daily increment rate of -2.20%), and the relatively pessimistic scenario (adjustment, daily increment rate of -1.50%) were inferred and modeling from data in China. Matching and fitting with these scenarios, the IFP of time in South Korea would be Mar 6-Mar 12, Italy Mar 10-Mar 24, and Iran is Mar 10-Mar 24. The numbers of cumulative confirmed patients will reach approximately 20k in South Korea, 209k in Italy, and 226k in Iran under fitting scenarios, respectively. There should be room for improvement if these metrics continue to improve. In that case, the IFP will arrive earlier than our estimation. However, with the adoption of different diagnosis criteria, the variation of new cases could impose various influences in the predictive model. If that happens, the IFP of increment will be higher than predicted above.",2020-03-24,2.0,77.0,38.5,21.0,The Prediction for Development of COVID-19 in Global Major Epidemic Areas Through Empirical Trends in China by Utilizing State Transition Matrix Model,19.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552835
"In this study, we highlighted that long-term viral infection exists in non-critical patients, and could induce the adaptive immune responses with increased CD4+ T cells and decreased CD8+ T cells. The increased CD4+ T cells had the potential to differentiate into Th1, Th2, Treg, or Th17/Tfh cells. Furthermore, we found that antibodies were produced in these patients, B cell responses were also initiated around two weeks after infection.",2020-03-24,2.0,77.0,38.5,23.0,Long-Term Infection of SARS-CoV-2 Evoked a Potential CD4+ T Cell Differentiation in Non-Critical Pneumonia Patients: A Prospective Study,13.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552857
" As the outbreak evolves, a cohort approach can further monitor public perceptions and response to future containment and mitigation measures.  ",2020-03-24,2.0,75.0,37.5,13.0,"Use of a Community-Based Cohort for Rapid and Repeated Assessments of Public Knowledge, Perceptions and Behaviours During the Evolving COVID-19 Outbreak in Singapore",11.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555211
"Multiple homeostasis disturbances were common in patients with severe or critical illness before admission. Early support should be provided, especially for old men with chronic disease, which is vital to restrain disease progression and reduce mortality of COVID-19.",2020-03-24,2.0,74.0,37.0,26.0,"Characteristics of SARS-CoV-2 Infected Patients with Clinical Outcome During Epidemic Ongoing Outbreak in Wuhan, China",13.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552812
"The NLR-LDH grading system that we proposed was a useful prognostic tool for the early detection of severe patients with COVID-19. And in the severe patients, CRP and BNP seemed to be helpful for predicting the disease progression or death, and their cardiac function required more attention. In addition, certain inflammatory and organ function indices in severe patients might indicate poor prognosis if they are much higher than reference line and continue to rise more than two weeks after illness onset.",2020-03-24,2.0,73.0,36.5,44.0,Exploring the Law of Development and Prognostic Factors of Common and Severe COVID-19: A Retrospective Case-Control Study in 122 Patients with Complete Course of Disease,15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555209
"The rate of respiratory failure and death was lower in patients with COVID-19 in Jiangsu than in Wuhan city and lower than previously seen in patients with SARS and MERS. Age, lymphocyte count, respiratory rate, and pulmonary opacity score at admission were identified as independent risk factors for developing respiratory failure.",2020-03-24,2.0,72.0,36.0,44.0,"Respiratory Failure Among Patients with COVID-19 in Jiangsu Province, China: A Multicentre Retrospective Cohort Study",14.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552836
"Patients with underlying disease and the confirmation time &gt; 10 days were more likely to develop to critical type. The critical type patients had higher risk of infection, respiratory depression, circulatory collapse, and complications. The strategy of lung-protective mechanical ventilation and restrictive fluid management should be strictly followed.",2020-03-23,3.0,149.0,49.666666666666700,27.0,"Clinical Characteristics and Current Treatment of Critically Ill Patients with COVID-19 Outside Wuhan, China: A Multicenter, Retrospective, Observational Study",40.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551426
"Our results suggest that prognosis is unfavorable for severely ill patients with COVID-19. Age, NLR, and LDH are independent predictors of 28-day mortality.",2020-03-23,3.0,140.0,46.666666666666700,17.0,"Short Term Outcomes and Risk Factors for Mortality in Patients with COVID-19 in Wuhan, China: A Retrospective Study",29.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551390
"Elder patients with more comorbidities and abnormalities in lymphocytes, platelets, prealbumin and myoglobin indicated poor prognosis of NCIP. Leukocytes, high-sensitivity-CRP, IL-6 and ferritin may predict the progression of disease. No evidence supported the effects of corticosteroids and lopinavir-ritonavir in NCIP treatment.",2020-03-23,3.0,127.0,42.333333333333300,25.0,"Potential Predictors for Disease Progression and Medication Evaluation of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",24.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551399
"14,592 respondents who were evaluated on psychological status in 31 provinces, autonomous regions, municipalities of China were included in the study, with a positive detection rate of SRQ-20, PHQ-9, GAD-7 being 33.2%, 53.5%, 44.6%, respectively. The male gender (OR=0.812,95%CI:0.748~0.881,P＜0.001), advanced degree of education (OR=0.723,95%CI:0.649~0.805,P＜0.001), student (OR=0.816,95%CI:0.695~0.958,P=0.009) were viewed as the protective factors of post-catastrophe stress. While young in  age(OR=1.843,95%CI:1.669~2.034,P＜0.001), divorced status (OR=1.486,95%CI:1.252~1.769,P＜0.001), being in poor physical condition (OR=18.889,95%CI:7.419~48.094,P＜0.001) were the predisposing factors of it. The risk factors for state anxiety and depression underlying the shadow of the COVID-19 epidemic were similar to those of acute stress, notwithstanding there was no significance in the positive detection rate of depression between the genders and no differences in anxiety of diverse educational levels.",2020-03-23,3.0,127.0,42.333333333333300,39.0,Psychological Impact and Predisposing Factors of the Coronavirus Disease 2019 (COVID-19) Pandemic on General Public in China,26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551415
"As the largest stool samples and the longest monitoring time so far, our study demonstrated that in spite of the virus harbour in the respiratory tract earlier than intestinal tract as 106 patients (77%) showed the first throat swab virus positive and only 22 patients (16%) showed the first stool virus positive in the first 10 days after their disease onset respectively, however, SARS-CoV-2 would harbour in the both respiratory tract and intestinal tract for 10-14 days. In addition, many patients appeared stool RNA positive when their swab RNA had turn negative and we suggested that both throat swabs and stool specimens are needed to absolutely confirm the elimination of the SARS-CoV-2.",2020-03-23,3.0,118.0,39.333333333333300,14.0,"Clinical Features of Stool SARS-CoV-2 RNA Positive in 137 COVID-19 Patients in Taizhou, China",22.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551383
"During late January to mid-February 2020, patients infected with SARS-CoV-2 were mostly non-severe with mild to moderated symptoms in Fujian province and the mortality rate (0·6%) was significantly lower than that in Wuhan. Older patients (&gt;65 years) were more likely to progress as severe cases of COVID-19 than the young (18-65 years).",2020-03-23,3.0,114.0,38.0,27.0,"Epidemical and Clinical Characteristics of 165 Patients Infected with SARS-CoV-2 in Fujian Province, China",21.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551402
"The disease course of confirmed patients, which can be evaluated by clinical manifestation and radiological examination results, may not reciprocate mono-directional reversion of positive RT-PCR test results into negative ones. Patients infected with COVID-19 may become asymptomatic in the process of treatment and recovery, combined with promising chest CT findings, however, unpredictable changes in RT-PCR test results between positives and negatives have been identified. Due to the unavailability of quantitative studies and the lack of specific medicine for COVID-19 infected pneumonia, longer periods of hospitalization and quarantine, integrated specimens for RT-PCR test are therefore suggested.",2020-03-23,3.0,106.0,35.333333333333300,32.0,"The Desynchrony between Clinical Course and RT-PCR Test Results in Patients with COVID-19 Infected Pneumonia During the Treatment in Wuhan, China",23.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551404
"Compared with CT images of GGO in patients with early-stage lung cancer, GGO features in patients with COVID-19 pneumonia have their own characteristics and t he evolution of GGO images corresponds with the progression of disease in a short time. The evaluation of GGO features combined with clinical, epidemiological and laboratory findings would facilitate the early detection and identification of COVID-19 pneumonia.  For the asymptomatic patients with GGO manifestation on CT findings, it is particularly essential to recheck chest CT within one week. Fully understanding the imaging features and differential diagnosis of COVID-19 will facilitate early detection and isolation of patients with SARS-CoV-2.",2020-03-23,3.0,98.0,32.666666666666700,27.0,"Comparison of Chest CT Images Featured with Ground Grass Opacity between COVID-19 Pneumonia and Early-Stage Lung Cancer in Wuhan,China: A Single-Centered, Retrospective, Observational Study",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551427
"The mortality of diabetic patients with COVID-19 was 35·4%, and diabetic patients were prone to suffer multi-organ dysfunction, secondary infection and worse outcome. Diabetes the disease itself, together with old age, other underlying comorbidities and poor glycemic control during hospitalization contributed to the poor outcomes of diabetic patients with COVID-19.",2020-03-20,6.0,3650.0,608.3333333333330,31.0,"Diabetic Patients with COVID-19, Characteristics and Outcome: A Two-Centre, Retrospective, Case Control Study",497.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369
"The high or moderate risk level of the epidemiological histories and typical features of chest image are the most valuable information for the screening. SARS-CoV-2 nucleic acid test is recommended at least two times for the cases with the above characteristics. Timely detection of children with COVID-19, even those with invisible infection, is of positive significance for the epidemic control.",2020-03-20,6.0,330.0,55.0,29.0,"Clinical Management of Children with an Epidemiological History of COVID-19: A Report on a Single Center of a General Hospital in Shenzhen, China",80.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551366
" Exposure to potentially crowded places, public transport and to individuals with a cold increases risk of acquiring circulating acute respiratory infections. This suggests social distancing measures can have an important impact on slowing transmission of emerging respiratory infections.",2020-03-19,7.0,466.0,66.57142857142860,31.0,Public Activities Preceding the Onset of Acute Respiratory Infection Syndromes in Adults in England - Implications for the Use of Social Distancing to Control Pandemic Respiratory Infections,101.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551361
"S-COVID-19-P could be identified early by a machine-learning model only used collected clinical information without CT images on admission in fever clinics with 100% recall score. The well performed and validated model has been deployed as an online triage tool, which is available at: https://intensivecare.shinyapps.io/COVID19/ .",2020-03-19,7.0,433.0,61.857142857142900,12.0,A Novel Triage Tool of Artificial Intelligence Assisted Diagnosis Aid System for Suspected COVID-19 Pneumonia in Fever Clinics,83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551355
Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.,2020-03-19,7.0,419.0,59.857142857142900,36.0,Multicenter Development and Validation of a Novel Risk Nomogram for Early Prediction of Severe 2019-Novel Coronavirus Pneumonia,127.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551365
"Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases.",2020-03-18,8.0,1381.0,172.625,40.0,Viral Load Dynamics and Clinical Disease Severity in Patients with SARS-CoV-2 Infection,168.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551345
The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.,2020-03-18,8.0,1293.0,161.625,25.0,Non-Severe vs Severe Symptomatic COVID-19: 104 Cases from the Outbreak on the Cruise Ship 'Diamond Princess' in Japan,195.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551331
" This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection.",2020-03-18,8.0,671.0,83.875,29.0,Hand and Respiratory Hygiene Practices and the Risk and Transmission of Human Coronavirus Infections in a UK Community Cohort,193.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551360
" Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. ",2020-03-18,8.0,604.0,75.5,20.0,Mental Health Status of Doctors and Nurses During COVID-19 Epidemic in China,206.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551329
"Compared with severe patient infected with SARS-CoV-2, mild patients with COVID-19 in our study were mostly female with a mean age of 49.2 years, and a considerable proportion of patients were no symptom.",2020-03-18,8.0,540.0,67.5,28.0,Clinical Findings of 100 Mild Cases of COVID-19 in Wuhan: A Descriptive Study,139.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551332
"We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative.",2020-03-18,8.0,402.0,50.25,15.0,Epidemiologic Features and Clinical Findings of COVID-19-Infected Patients in Suzhou,97.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551352
"Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients.",2020-03-18,8.0,398.0,49.75,16.0,Follow-Up Study of 131 COVID-19 Discharged Patients: Is the Current Chinese Discharge Criteria Reliable?,93.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551342
" Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems.",2020-03-18,8.0,356.0,44.5,28.0,"Assessment of Public Attention, Risk Perception, Emotional and Behavioural Responses to the COVID-19 Outbreak: Social Media Surveillance in China",116.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551338
SARS-CoV-2 has great person-to-person transmission capability among close contacts. The secondary cases are more prone to have mild symptoms than index cases. There is no increased RR of secondary infection in blood relatives versus unrelated contacts. The high rate of asymptomatic SARS-CoV-2 infections highlights the urgent need to enhance active case finding strategy for early detection of infectious patients.,2020-03-18,8.0,349.0,43.625,1.0,"Clusters of Human Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in a Non-Epidemic Area, China",59.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551388
"1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future.",2020-03-18,8.0,328.0,41.0,30.0,The Response of the Government's Emergency System to the Novel Coronavirus Disease 2019 (COVID-19) Outbreak in China: A Retrospective Comparative Study,83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551347
"As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic.",2020-03-18,8.0,291.0,36.375,8.0,Epidemiological and Transmission Patterns of Pregnant Women with 2019 Coronavirus Disease in China,92.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551330
"Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China.",2020-03-17,9.0,372.0,41.333333333333300,16.0,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",110.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551323
"As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19.",2020-03-17,9.0,319.0,35.44444444444440,11.0,"Emergency Responses to COVID-19 Outbreak: Experiences and Lessons from a General Hospital in Nanjing, China",81.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551327
Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.,2020-03-17,9.0,316.0,35.111111111111100,15.0,Confusion and Thinking on the Diagnosis and Treatment of Patients with Negative RT-PCR Results for SARS-CoV-2,53.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551322
"In our hospital, establishment of NCP department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation.",2020-03-17,9.0,284.0,31.555555555555600,8.0,A High Efficient Hospital Emergency Responsive Mode Is the Key of Successful Treatment of 100 COVID-19 Patients in Zhuhai,78.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551317
"Positive CT with exposure history should also be used as criteria to admit children into the hospital for immediate treatment. The severity of COVID-19 infection in children is less than adults in terms of symptoms, lung consolidation as visualized by CT, and laboratory abnormalities. Children are also less likely to be infected. CT scan is not recommended to evaluate treatment response as indicated by COX-regression method.",2020-03-12,14.0,2025.0,144.64285714285700,32.0,Visualizing the Novel Coronavirus (COVID-19) in Children: What We Learn from Patients at Wuhan Children's Hospital,531.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550012
"We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-12,14.0,804.0,57.42857142857140,35.0,Precautions Are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,172.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550013
"Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally.",2020-03-12,14.0,708.0,50.57142857142860,33.0,More Effective Strategies are Required to Strengthen Public Awareness of COVID-19: Evidence from Google Trends,189.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550008
