Abstract,Date,Downloads,Refrences,Search,Views,url
Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.,2020-03-19,400.0,36.0,Multicenter Development and Validation of a Novel Risk Nomogram for Early Prediction of Severe 2019-Novel Coronavirus Pneumonia,121.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551365
SARS-CoV-2 has great person-to-person transmission capability among close contacts. The secondary cases are more prone to have mild symptoms than index cases. There is no increased RR of secondary infection in blood relatives versus unrelated contacts. The high rate of asymptomatic SARS-CoV-2 infections highlights the urgent need to enhance active case finding strategy for early detection of infectious patients.,2020-03-18,309.0,1.0,"Clusters of Human Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in a Non-Epidemic Area, China",57.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551388
"11 COVID-19 patients with a history of thoracotomy were all severe cases. The diagnosis was confirmed by chest CT and nucleic acid testing, and antiviral treatment mainly based on abidol, supplemented by Chinese traditional medicine Lianhuaqingwen. All patients were treated with antibiotics, and 1 patient also took prophylactic antifungal therapy. Finally, 3 patients died of respiratory failure, 7 patients recovered smoothly, and 1 patient was still under treatment.",2020-03-18,197.0,10.0,"Clinical Features of 11 COVID-19 Patients with History of Thoracotomy: A Descriptive Study in Wuhan, China",43.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551387
"1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future.",2020-03-18,301.0,30.0,The Response of the Government's Emergency System to the Novel Coronavirus Disease 2019 (COVID-19) Outbreak in China: A Retrospective Comparative Study,81.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551347
" Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. ",2020-03-18,515.0,20.0,Mental Health Status of Doctors and Nurses During COVID-19 Epidemic in China,179.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551329
"As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic.",2020-03-18,265.0,8.0,Epidemiological and Transmission Patterns of Pregnant Women with 2019 Coronavirus Disease in China,84.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551330
The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.,2020-03-18,1186.0,25.0,Non-Severe vs Severe Symptomatic COVID-19: 104 Cases from the Outbreak on the Cruise Ship 'Diamond Princess' in Japan,187.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551331
"Compared with severe patient infected with SARS-CoV-2, mild patients with COVID-19 in our study were mostly female with a mean age of 49.2 years, and a considerable proportion of patients were no symptom.",2020-03-18,519.0,28.0,Clinical Findings of 100 Mild Cases of COVID-19 in Wuhan: A Descriptive Study,136.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551332
" Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems.",2020-03-18,326.0,28.0,"Assessment of Public Attention, Risk Perception, Emotional and Behavioural Responses to the COVID-19 Outbreak: Social Media Surveillance in China",102.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551338
"Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients.",2020-03-18,370.0,16.0,Follow-Up Study of 131 COVID-19 Discharged Patients: Is the Current Chinese Discharge Criteria Reliable?,83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551342
"Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases.",2020-03-18,1354.0,40.0,Viral Load Dynamics and Clinical Disease Severity in Patients with SARS-CoV-2 Infection,164.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551345
"We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative.",2020-03-18,388.0,15.0,Epidemiologic Features and Clinical Findings of COVID-19-Infected Patients in Suzhou,96.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551352
" This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection.",2020-03-18,640.0,29.0,Hand and Respiratory Hygiene Practices and the Risk and Transmission of Human Coronavirus Infections in a UK Community Cohort,188.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551360
"In our hospital, establishment of NCP department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation.",2020-03-17,271.0,8.0,A High Efficient Hospital Emergency Responsive Mode Is the Key of Successful Treatment of 100 COVID-19 Patients in Zhuhai,75.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551317
 The public must take precautionary measures in order to control and prevent disease spread and avoid extra travelling.,2020-03-17,199.0,23.0,"An Updated Trend Analysis Representing the Outbreak of Novel Coronavirus (2019-nCoV) in 16 Cities of Hubei Province, China Using Logistic S-Curve Model",51.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551318
"According to the SEIRD model curve we established, the transmission dynamics of SARS-COV-2 far exceed those of SARS in 2003, and the estimated final number of cases in China lies between 70,000 and 100,000. The current public health interventions are effective and should be maintained or strengthened until COVID-19 is no longer considered a global threat.",2020-03-17,260.0,30.0,The Transmission Dynamics of SARS-COV-2 in China: Modeling Study and the Impact of Public Health Interventions,65.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551319
Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.,2020-03-17,304.0,15.0,Confusion and Thinking on the Diagnosis and Treatment of Patients with Negative RT-PCR Results for SARS-CoV-2,52.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551322
"Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China.",2020-03-17,357.0,16.0,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",108.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551323
"COVID-19 patients accompanied by diabetes, and with laboratory characteristics of lymphocytopenia and thrombocytopenia, elevated concentration of plasma cytokines IL-2R, IL6, IL-10 and TNFα, other factors (CRP, LDH and ferritin) were associated with disease severity. For these patients, however, IMV could not significantly improved the prognosis. It’s important for timely treatments to reverse the progression to respiratory failure.",2020-03-17,238.0,25.0,Clinical Characteristics of 77 Novel Coronavirus 2019 Infected Patients with Respiratory Failure in the Terminal Stage in Wuhan,57.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551325
"Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten-day period, the percentage of those in severe conditions decreased statistical significantly from 19.7% (Jan 11 – 20) to 14.4% (Jan 21 – 31) to 8.7% (Feb 1 – 11). Across the country, there was also a significant difference in the disease severity among patients symptoms onset during the same period, with Wuhan being the most severe (17%), followed by Hubei Province (10.4%), and the rest of China (7.0%). The case fatality rate for the 1,688 infected Chinese healthcare workers was significantly lower than that for the 29,798 infected patients aged 20-59 years -- 0.3% (5/1,688) vs. 0.65% (193/29,798), respectively.",2020-03-17,196.0,11.0,"Geo-Temporal Distribution of 1,688 Chinese Healthcare Workers Infected with COVID-19 in Severe Conditions – A Secondary Data Analysis",44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551326
"As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19.",2020-03-17,297.0,11.0,"Emergency Responses to COVID-19 Outbreak: Experiences and Lessons from a General Hospital in Nanjing, China",74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551327
"Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally.",2020-03-12,684.0,33.0,More Effective Strategies are Required to Strengthen Public Awareness of COVID-19: Evidence from Google Trends,180.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550008
"Positive CT with exposure history should also be used as criteria to admit children into the hospital for immediate treatment. The severity of COVID-19 infection in children is less than adults in terms of symptoms, lung consolidation as visualized by CT, and laboratory abnormalities. Children are also less likely to be infected. CT scan is not recommended to evaluate treatment response as indicated by COX-regression method.",2020-03-12,1967.0,32.0,Visualizing the Novel Coronavirus (COVID-19) in Children: What We Learn from Patients at Wuhan Children's Hospital,506.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550012
"We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-12,766.0,35.0,Precautions Are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,165.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550013
"By dynamic observations of the serum biochemistry profile, chest CT imaging of 12 amongst 13 COVID patients outside Wuhan, SAA was identified as a potential biomarker linked with clinical severity. Moreover, immune cell sorting analysis unraveled the landscape of innate and adaptive immunity machinery underlying COVID-19.",2020-03-10,490.0,21.0,Clinical Hallmarks of 13 COVID-19 Patients Revealing SAA Biomarker,134.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546066&utm_source=EC&utm_medium=Connect
"COVID-19 patients with diarrhea suffered discomfort longer, as compared with COVID-19 pneumonia patients without diarrhea. The elimination of SARS-CoV-2 from digestive system took much more time than that from respiratory system, in some COVID-19 patients with diarrhea.",2020-03-10,952.0,23.0,Clinical Characteristics of SARS-CoV-2 Infected Pneumonia with Diarrhea,164.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546120&utm_source=EC&utm_medium=Connect
"A total of 69 severe type COVID-19 patients were included. On admission, the median age of severe cases was 56-year old, with 52.17% of female patient. The most common symptoms were fever (79.72%), coughing (63.77%), shortness of breath (57.97%) and fatigue (50.72%). Diarrhea is less common. The most common comorbidity is hypertension. Upon admission, the proportion of bilateral pulmonary involvement or interstitial pneumonia evidenced by CT imaging in severe cases was 60.87% and 27.54%, respectively. Compared with patients with nonsevere disease, those with severe disease showed lymphocytopenia. Elevated level of lactate dehydrogenase (LDH), C-reactive protein (CRP), ferritin and D-dimer was found in most cases. Two patients (2.9%) needed transfer to the intensive care unit. Baseline immunological parameters and most of the inflammatory parameters were basically within the normal range. However, baseline IL-6 was significantly increased in severe type which is closely related to the maximal body temperature during hospitalization and CT findings. Baseline IL-6 was also significantly related to the increase of baseline level of CRP, LDH, ferritin and D-dimer. The increase of baseline IL-6 level suggests that it may positively correlate with the severity of COVID-19. Among the 30 severe type patient whose level of IL-6 was assessed before and after treatment, significant decrease in IL-6 and improved CT assessment was found in 25 patients after treatment. Whereas the IL-6 level was further increased in 3 cases, which was closely related to the progression of pneumonia. It is suggested that IL-6 may be used as a biomarker for disease monitoring in severe COVID-19 patients.",2020-03-10,399.0,17.0,The Potential Role of IL-6 in Monitoring Coronavirus Disease 2019,103.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548761&utm_source=EC&utm_medium=Connect
"Totally, 1860 patients were screened and 136 patients were enrolled in the study. 72 (52.94%) of them were diagnosed as influenza (Flu) A virus infection. 32 (23.53%) of the patients were diagnosed as Flu B virus infection. 18 (13.24%) and 14 (10.29%) of the patients were diagnosed as COVID-19 and respiratory syncytial virus (RSV) infection respectively. COVID-19 group had a higher rate of contact with epidemic area within 14 days and clustering onset than other groups (P&lt;0.05). Fever was the most common symptom in the respiratory virus infection patients. The ratio of fever and the highest temperature were higher in Flu A virus infection patients than in COVID-19 patients (P&lt;0.05). COVID-19 patients had lower white blood cell (WBC) count and neutrophil count than Flu A virus and RSV infection group (P&lt;0.05), but higher lymphocyte count than Flu A and B virus infection groups (P&lt;0.05). C-reactive protein was higher in RSV infection group than in COVID-19 and Flu B infection group, but was not statistically different in Flu A and B infection and COVID-19 groups. COVID-19 group (83.33%) had a higher rate of pneumonia in chest CT scan than Flu A and B virus infection group (P&lt;0.05).",2020-03-10,323.0,16.0,Characteristics of Respiratory Virus Infection During the Outbreak of 2019 Novel Coronavirus in Beijing,72.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548768&utm_source=EC&utm_medium=Connect
"Of 301 hospitalized COVID-19 patients, the median age was 58 years and 51.2% were male. The median period between symptoms presence and positive SARS-CoV-2 RT-PCR results was 16 days (IQR, 10-23, N=301). The median period between symptoms presence and an effective negative SARS-CoV-2 RT-PCR result was 20 days (IQR, 17-24; N=216). Infected patient ≥65 years old stayed contagious longer (22 days vs 19 days, p=0.015). Although two consecutive negative results were confirmed in 70 patients, 30% of them had positive viral test results for the third time. Using specimens from nasal swabs to run the RT-PCR test showed a higher positive rate than using specimens from throat swabs.",2020-03-10,990.0,21.0,"Dynamic Profile of RT-PCR Findings from 301 COVID-19 Patients in Wuhan, China: A Descriptive Study",222.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548769&utm_source=EC&utm_medium=Connect
This is the first time to describe the epidemiological and clinical features of COVID-19 in the nearest capital cities around Wuhan. Wuhan city lockdown was effective in blocking the spread of COVID-19 outside Wuhan. Patients with short-termed Wuhan exposure history may be severer than those without Wuhan exposure.,2020-03-10,508.0,27.0,"Epidemiological and Clinical Features of Corona Virus Disease 2019 (COVID-19) in Changsha, China",156.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548770&utm_source=EC&utm_medium=Connect
"Patients with COVID-19 pneumonia are at risk of APE. When D-dimer remarkable increases, CTPA facilitates the diagnosis of APE and assesses its change during the course. Special attention needs to be paid to the danger of APE associated with COVID-19 infection.",2020-03-10,774.0,21.0,Findings of Acute Pulmonary Embolism in COVID-19 Patients,180.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548771&utm_source=EC&utm_medium=Connect
"In this case series in Jiangsu Province, COVID-19 patients have less severe symptoms and have better outcomes than the initial COVID-19 patients in Wuhan. The BMI ≥ 28 kg/m 2 and a known history of type 2 diabetes are independent risk factors of severe illness in patients with COVID-19.",2020-03-10,321.0,30.0,"Clinical Findings of Patients with Coronavirus Disease 2019 in Jiangsu Province, China: A Retrospective, Multi-Center Study",87.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548785&utm_source=EC&utm_medium=Connect
"Typical CT manifestations include the involvement of multiple lobes, mostly in the peripheral zone of the lungs, and subpleural distribution. GGO, crazy paving or mixed GGO and consolidation is the most common signs. Few patients can present small amount of pleural effusion. It is worth noting that none of the lung cavities, tree buds, and lymphadenopathy appeared. The follow-up imaging findings of some patients showed progress when the initial CT score reached 7.",2020-03-10,267.0,13.0,Imaging Features in COVID-19 Patients: Analysis of Data from Patients in Non-Pandemic Areas,41.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548786&utm_source=EC&utm_medium=Connect
"For the outbreak of such infectious diseases as COVID-19, public health methods play greater roles in controlling the epidemic.",2020-03-10,434.0,6.0,"Epidemic Features and Control of 2019 Novel Coronavirus Pneumonia in Wenzhou, China",123.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550007&utm_source=EC&utm_medium=Connect
