Abstract,Date,Downloads,Refrences,Search,Views,url
" Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems.",2020-03-18,157.0,28.0,"Assessment of Public Attention, Risk Perception, Emotional and Behavioural Responses to the COVID-19 Outbreak: Social Media Surveillance in China",63.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551338
"Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients.",2020-03-18,205.0,16.0,Follow-Up Study of 131 COVID-19 Discharged Patients: Is the Current Chinese Discharge Criteria Reliable?,56.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551342
"Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases.",2020-03-18,1109.0,40.0,Viral Load Dynamics and Clinical Disease Severity in Patients with SARS-CoV-2 Infection,111.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551345
"We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative.",2020-03-18,270.0,15.0,Epidemiologic Features and Clinical Findings of COVID-19-Infected Patients in Suzhou,79.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551352
" This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection.",2020-03-18,438.0,29.0,Hand and Respiratory Hygiene Practices and the Risk and Transmission of Human Coronavirus Infections in a UK Community Cohort,130.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551360
"In our hospital, establishment of NCP department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation.",2020-03-17,169.0,8.0,A High Efficient Hospital Emergency Responsive Mode Is the Key of Successful Treatment of 100 COVID-19 Patients in Zhuhai,52.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551317
 The public must take precautionary measures in order to control and prevent disease spread and avoid extra travelling.,2020-03-17,127.0,23.0,"An Updated Trend Analysis Representing the Outbreak of Novel Coronavirus (2019-nCoV) in 16 Cities of Hubei Province, China Using Logistic S-Curve Model",42.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551318
"According to the SEIRD model curve we established, the transmission dynamics of SARS-COV-2 far exceed those of SARS in 2003, and the estimated final number of cases in China lies between 70,000 and 100,000. The current public health interventions are effective and should be maintained or strengthened until COVID-19 is no longer considered a global threat.",2020-03-17,179.0,30.0,The Transmission Dynamics of SARS-COV-2 in China: Modeling Study and the Impact of Public Health Interventions,54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551319
Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.,2020-03-17,216.0,15.0,Confusion and Thinking on the Diagnosis and Treatment of Patients with Negative RT-PCR Results for SARS-CoV-2,43.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551322
"Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China.",2020-03-17,250.0,16.0,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",82.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551323
"COVID-19 patients accompanied by diabetes, and with laboratory characteristics of lymphocytopenia and thrombocytopenia, elevated concentration of plasma cytokines IL-2R, IL6, IL-10 and TNFα, other factors (CRP, LDH and ferritin) were associated with disease severity. For these patients, however, IMV could not significantly improved the prognosis. It’s important for timely treatments to reverse the progression to respiratory failure.",2020-03-17,148.0,25.0,Clinical Characteristics of 77 Novel Coronavirus 2019 Infected Patients with Respiratory Failure in the Terminal Stage in Wuhan,44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551325
"Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten-day period, the percentage of those in severe conditions decreased statistical significantly from 19.7% (Jan 11 – 20) to 14.4% (Jan 21 – 31) to 8.7% (Feb 1 – 11). Across the country, there was also a significant difference in the disease severity among patients symptoms onset during the same period, with Wuhan being the most severe (17%), followed by Hubei Province (10.4%), and the rest of China (7.0%). The case fatality rate for the 1,688 infected Chinese healthcare workers was significantly lower than that for the 29,798 infected patients aged 20-59 years -- 0.3% (5/1,688) vs. 0.65% (193/29,798), respectively.",2020-03-17,119.0,11.0,"Geo-Temporal Distribution of 1,688 Chinese Healthcare Workers Infected with COVID-19 in Severe Conditions – A Secondary Data Analysis",27.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551326
"As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19.",2020-03-17,191.0,11.0,"Emergency Responses to COVID-19 Outbreak: Experiences and Lessons from a General Hospital in Nanjing, China",55.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551327
"Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally.",2020-03-12,571.0,33.0,More Effective Strategies are Required to Strengthen Public Awareness of COVID-19: Evidence from Google Trends,153.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550008
" Studies consistently conclude that quarantine is an essential method to control coronavirus diseases. For both, effectiveness and resource use, early implementation of quarantine seems to be crucial.",2020-03-12,1279.0,51.0,The Effectiveness of Quarantine to Control the Coronavirus Disease 2019: A Rapid Review,360.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550010
"Positive CT with exposure history should also be used as criteria to admit children into the hospital for immediate treatment. The severity of COVID-19 infection in children is less than adults in terms of symptoms, lung consolidation as visualized by CT, and laboratory abnormalities. Children are also less likely to be infected. CT scan is not recommended to evaluate treatment response as indicated by COX-regression method.",2020-03-12,1732.0,32.0,Visualizing the Novel Coronavirus (COVID-19) in Children: What We Learn from Patients at Wuhan Children's Hospital,442.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550012
"We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-12,617.0,35.0,Precautions Are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,143.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550013
"By dynamic observations of the serum biochemistry profile, chest CT imaging of 12 amongst 13 COVID patients outside Wuhan, SAA was identified as a potential biomarker linked with clinical severity. Moreover, immune cell sorting analysis unraveled the landscape of innate and adaptive immunity machinery underlying COVID-19.",2020-03-10,405.0,21.0,Clinical Hallmarks of 13 COVID-19 Patients Revealing SAA Biomarker,114.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546066&utm_source=EC&utm_medium=Connect
"COVID-19 patients with diarrhea suffered discomfort longer, as compared with COVID-19 pneumonia patients without diarrhea. The elimination of SARS-CoV-2 from digestive system took much more time than that from respiratory system, in some COVID-19 patients with diarrhea.",2020-03-10,712.0,23.0,Clinical Characteristics of SARS-CoV-2 Infected Pneumonia with Diarrhea,126.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546120&utm_source=EC&utm_medium=Connect
"A total of 69 severe type COVID-19 patients were included. On admission, the median age of severe cases was 56-year old, with 52.17% of female patient. The most common symptoms were fever (79.72%), coughing (63.77%), shortness of breath (57.97%) and fatigue (50.72%). Diarrhea is less common. The most common comorbidity is hypertension. Upon admission, the proportion of bilateral pulmonary involvement or interstitial pneumonia evidenced by CT imaging in severe cases was 60.87% and 27.54%, respectively. Compared with patients with nonsevere disease, those with severe disease showed lymphocytopenia. Elevated level of lactate dehydrogenase (LDH), C-reactive protein (CRP), ferritin and D-dimer was found in most cases. Two patients (2.9%) needed transfer to the intensive care unit. Baseline immunological parameters and most of the inflammatory parameters were basically within the normal range. However, baseline IL-6 was significantly increased in severe type which is closely related to the maximal body temperature during hospitalization and CT findings. Baseline IL-6 was also significantly related to the increase of baseline level of CRP, LDH, ferritin and D-dimer. The increase of baseline IL-6 level suggests that it may positively correlate with the severity of COVID-19. Among the 30 severe type patient whose level of IL-6 was assessed before and after treatment, significant decrease in IL-6 and improved CT assessment was found in 25 patients after treatment. Whereas the IL-6 level was further increased in 3 cases, which was closely related to the progression of pneumonia. It is suggested that IL-6 may be used as a biomarker for disease monitoring in severe COVID-19 patients.",2020-03-10,292.0,17.0,The Potential Role of IL-6 in Monitoring Coronavirus Disease 2019,77.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548761&utm_source=EC&utm_medium=Connect
"Totally, 1860 patients were screened and 136 patients were enrolled in the study. 72 (52.94%) of them were diagnosed as influenza (Flu) A virus infection. 32 (23.53%) of the patients were diagnosed as Flu B virus infection. 18 (13.24%) and 14 (10.29%) of the patients were diagnosed as COVID-19 and respiratory syncytial virus (RSV) infection respectively. COVID-19 group had a higher rate of contact with epidemic area within 14 days and clustering onset than other groups (P&lt;0.05). Fever was the most common symptom in the respiratory virus infection patients. The ratio of fever and the highest temperature were higher in Flu A virus infection patients than in COVID-19 patients (P&lt;0.05). COVID-19 patients had lower white blood cell (WBC) count and neutrophil count than Flu A virus and RSV infection group (P&lt;0.05), but higher lymphocyte count than Flu A and B virus infection groups (P&lt;0.05). C-reactive protein was higher in RSV infection group than in COVID-19 and Flu B infection group, but was not statistically different in Flu A and B infection and COVID-19 groups. COVID-19 group (83.33%) had a higher rate of pneumonia in chest CT scan than Flu A and B virus infection group (P&lt;0.05).",2020-03-10,272.0,16.0,Characteristics of Respiratory Virus Infection During the Outbreak of 2019 Novel Coronavirus in Beijing,68.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548768&utm_source=EC&utm_medium=Connect
"Of 301 hospitalized COVID-19 patients, the median age was 58 years and 51.2% were male. The median period between symptoms presence and positive SARS-CoV-2 RT-PCR results was 16 days (IQR, 10-23, N=301). The median period between symptoms presence and an effective negative SARS-CoV-2 RT-PCR result was 20 days (IQR, 17-24; N=216). Infected patient ≥65 years old stayed contagious longer (22 days vs 19 days, p=0.015). Although two consecutive negative results were confirmed in 70 patients, 30% of them had positive viral test results for the third time. Using specimens from nasal swabs to run the RT-PCR test showed a higher positive rate than using specimens from throat swabs.",2020-03-10,725.0,21.0,"Dynamic Profile of RT-PCR Findings from 301 COVID-19 Patients in Wuhan, China: A Descriptive Study",172.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548769&utm_source=EC&utm_medium=Connect
This is the first time to describe the epidemiological and clinical features of COVID-19 in the nearest capital cities around Wuhan. Wuhan city lockdown was effective in blocking the spread of COVID-19 outside Wuhan. Patients with short-termed Wuhan exposure history may be severer than those without Wuhan exposure.,2020-03-10,408.0,27.0,"Epidemiological and Clinical Features of Corona Virus Disease 2019 (COVID-19) in Changsha, China",133.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548770&utm_source=EC&utm_medium=Connect
"Patients with COVID-19 pneumonia are at risk of APE. When D-dimer remarkable increases, CTPA facilitates the diagnosis of APE and assesses its change during the course. Special attention needs to be paid to the danger of APE associated with COVID-19 infection.",2020-03-10,630.0,21.0,Findings of Acute Pulmonary Embolism in COVID-19 Patients,144.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548771&utm_source=EC&utm_medium=Connect
"In this case series in Jiangsu Province, COVID-19 patients have less severe symptoms and have better outcomes than the initial COVID-19 patients in Wuhan. The BMI ≥ 28 kg/m 2 and a known history of type 2 diabetes are independent risk factors of severe illness in patients with COVID-19.",2020-03-10,253.0,30.0,"Clinical Findings of Patients with Coronavirus Disease 2019 in Jiangsu Province, China: A Retrospective, Multi-Center Study",78.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548785&utm_source=EC&utm_medium=Connect
"Typical CT manifestations include the involvement of multiple lobes, mostly in the peripheral zone of the lungs, and subpleural distribution. GGO, crazy paving or mixed GGO and consolidation is the most common signs. Few patients can present small amount of pleural effusion. It is worth noting that none of the lung cavities, tree buds, and lymphadenopathy appeared. The follow-up imaging findings of some patients showed progress when the initial CT score reached 7.",2020-03-10,207.0,13.0,Imaging Features in COVID-19 Patients: Analysis of Data from Patients in Non-Pandemic Areas,36.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548786&utm_source=EC&utm_medium=Connect
"For the outbreak of such infectious diseases as COVID-19, public health methods play greater roles in controlling the epidemic.",2020-03-10,370.0,6.0,"Epidemic Features and Control of 2019 Novel Coronavirus Pneumonia in Wenzhou, China",115.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550007&utm_source=EC&utm_medium=Connect
"The distribution of significant community outbreaks along restricted latitude, temperature, and humidity are consistent with the behavior of a seasonal respiratory virus. Additionally, we have proposed a simplified model that shows a zone at increased risk for COVID-19 spread. Using weather modeling, it may be possible to predict the regions most likely to be at higher risk of significant community spread of COVID-19 in the upcoming weeks, allowing for concentration of public health efforts on surveillance and containment.",2020-03-09,36679.0,24.0,Temperature and Latitude Analysis to Predict Potential Spread and Seasonality for COVID-19,155371.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550308
"Our results highlight that government authorities should make early detection of the high risk of anxiety among medical staff a priority, and implement appropriate psychological intervention programs, to prevent medical staff from developing psychological disorders that could potentially exert an adverse effect on combating the COVID-19 epidemic.",2020-03-06,482.0,21.0,The Prevalence and Influencing Factors for Anxiety in Medical Workers Fighting COVID-19 in China: A Cross-Sectional Survey,148.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548781&utm_source=EC&utm_medium=Connect
"Monitoring the trends of symptoms is more important for identifying severe cases. Excessive laboratory data and physical examination are not necessary for the evaluation of patients with mild symptoms. The system we developed is the first to convert the subjective symptoms of patients into objective scores. This type of O2O, subjective-to-objective strategy may be used in regions with similar highly infectious diseases to minimize the possibility of infection among medical staff.",2020-03-06,339.0,8.0,Evaluation of the Clinical Characteristics of Suspected or Confirmed Cases of COVID-19 During Home Care with Isolation: A New Retrospective Analysis Based on O2O,69.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548746&utm_source=EC&utm_medium=Connect
Our findings suggest that the inadequate capacity to respond to public health emergencies caused by relatively scarce health-care resources is a crucial factor contributes to the higher CFR of infectious diseases in regions with lower economic levels. Backward countries and territories should take strategies earlier to minimize the endanger of COVID-19.,2020-03-06,380.0,12.0,Scarce Health-Care Resources and Higher Case-Fatality Rates Early in Epidemic: Analysis of Hospitalized Patients with COVID-19 in Tianmen,82.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548748&utm_source=EC&utm_medium=Connect
"The COVID-19 patient’s clinical outcome in Jiangsu was no worse than that in Hubei. Age, fever, cough and SpO2 were found to be associated with a severe or critically ill infection. These results may help screening and early management of the COVID-19 cases.",2020-03-06,441.0,16.0,"Characteristics and Associations with Severity in COVID-19 Patients: A Multicentre Cohort Study from Jiangsu Province, China",119.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548753&utm_source=EC&utm_medium=Connect
"All people are susceptible to the COVID-19, but older males and those with comorbid conditions are more likely to have severe symptoms. Even though COVID-19 is highly contagious, control measures have proven to be very effective.",2020-03-06,484.0,29.0,"The Epidemiological Characteristics of 2019 Novel Coronavirus Diseases (COVID-19) in Jingmen, China",126.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548755&utm_source=EC&utm_medium=Connect
"Pregnancy and childbirth did not aggravate the course of symptoms or CT features of COVID-19 Pneumonia. Pregnant women with COVID-19 pneumonia were mostly mild type, presenting with clinical features and CT imaging progression pattern similar to those of non-pregnant women. No infection was found in the newborns. In this report, the pregnant women achieved a good recovery without use of antiviral drugs.",2020-03-06,962.0,18.0,Pregnancy and Perinatal Outcomes of Women with COVID-19 Pneumonia: A Preliminary Analysis,240.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548758&utm_source=EC&utm_medium=Connect
"The Wuhan authorities restricted citizens' freedom of expression, prevent Dr.Li from warning citizen and medical staff about infectivity of COVID-19. The administrative actions of Wuhan authorities artificially creating hospital outpatient cross-infection and additional close contacts. The influence of authorities infringe upon human rights on epidemic prevention need special research by future studies.",2020-03-06,327.0,33.0,"Impact of Wuhan's Epidemic Prevention Policy on the Outbreak of COVID-19 in Wuhan, China",92.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548759&utm_source=EC&utm_medium=Connect
SARS-CoV-2 may cause the liver function damage and the Lopinavir/ritonavir should be applied carefully for the treatment of COVID-19.,2020-03-05,380.0,31.0,Clinical Features of COVID-19-Related Liver Damage,92.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546077&utm_source=EC&utm_medium=Connect
The predictive effect of CD3+ lymphocyte typing count on the clinical outcome of COVID-19 was better than that of routine lymphocyte count. Elevated at-admission procalcitonin and prothrombin time were independent prognostic factors for death.,2020-03-05,1100.0,18.0,"Clinical and Laboratory Factors Predicting the Prognosis of Patients with COVID-19: An Analysis of 127 Patients in Wuhan, China",294.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546118&utm_source=EC&utm_medium=Connect
"267 laboratory-confirmed COVID-19 patients admitted to 3 designated-hospitals in Chongqing provincial municipality from January 19 to February 16, 2020 were enrolled and categorized on admission. 217 (81.27%) and 50 (18.73%) patients were categorized into non-severe and severe subgroups, respectively. The median age of the patients was 48.0 years (IQR, 35.0-65.0), with 129 (48.3%) of the patients were more than 50 years of age. 149 (55.8%) patients were men. severe patients were significantly older (median age, 71.5 years [IQR, 65.8-77.0] vs 43.0 years [IQR, 32.5-57.0]) and more likely to be male (110[50.7%] vs 39[78.0%]) and have coexisting disorders (15[30.0%] vs 26[12.0%]). 41 (15.4%) COVID-19 patients had a recent travel to Hubei province, 139 (52.1%) patients had a history of contact with patients from Hubei. On admission, the most common symptoms of COVID-19 were fever 225(84.3%), fatigue (208 [77.9%]), dry cough (189 [70.8%]), myalgia or arthralgia (136 [50.9%]). Severe patients were more likely to present dyspnea (17[34.0%] vs 26[12.0%]) and confusion (10[20.0%] vs 15 [6.9%]). Rales (32 [12.0%]) and wheezes (20 [7.5%]) are not common noted for COVID-19 patients, especially for the non-severe (11 [5.1%], 10 [4.6%]). 118 (44.2%), 231 (86.5%), 61 (22.8%) patients had lymphopenia, leukopenia and thrombocytopenia, respectively. CD4+T cell counts decrease was observed in 77.1 % of cases, especially in the severe patients (45, 100%). 53.1% patients had decreased CD+ 3 T cell counts, and level of CD8+T cells was lower than the normal range in part of patients (34.4%). Most patients had normal level of IL-2, IL-4, TNF-α and INF-γ, while high level of IL6 and IL-17A was common in COVID-19 patients (47 [70.1%], 35 [52.2%]). Most severe patients demonstrated more laboratory abnormalities. More severe patients had lower level of CD4+ T cells and CD+ 3 T cells (45[100.0%] vs 29[56.9%], 31[68.9%] vs 20[39.2%]). Level of IL-6, IL-17A and TNF-α was remarkably elevated in severe patients (32[84.2%] vs 15[51.7%], 25[65.8%] vs 10[34.5%], 17[44.7%] vs 5[17.2%]). All patients received antiviral therapy (267, 100%). A portion of severe patients (38, 76.0%) received systemic corticosteroid therapy. Invasive mechanical ventilation, noninvasive mechanical ventilation, high-flow nasal cannula oxygen therapy was adopted only in severe patients with respiratory failure (5[10.0%], 35[70.0%], 12[24.0%]). Traditional Chinese medicine was adopted to most of severe patients (43,86.0%).",2020-03-05,318.0,37.0,"Epidemiological and Clinical Features of 2019-nCoV Acute Respiratory Disease Cases in Chongqing Municipality, China: A Retrospective, Descriptive, Multiple-Center Study",80.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546122&utm_source=EC&utm_medium=Connect
"Most cases in children were mild(21.4%) and conventional cases (78.6%), with mild clinical signs and symptoms, and all cases were of family clusters. Fever (35.7%) and dry cough (21.4%) were described as clinical manifestations in children cases. Dry cough and phlegm were not the most common symptoms in children compared with adults (p=0.03). In the early stages of the disease, lymphocyte counts did  not significantly decline but neutrophils counts did in children compared with adults (p=0.00). There was an elevated level of LDH(p=0.01) and a lower level of CRP(p=0.00)and IL-6(p=0.01) in children compared with  adults.",2020-03-05,579.0,24.0,Clinical Characteristics of COVID-19 in Children Compared with Adults Outside of Hubei Province in China,158.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546097&utm_source=EC&utm_medium=Connect
Our model simulation showed that highly populated modern cities are particularly vulnerable and lessons learned in China could facilitate other countries to plan the proactive and decisive actions. We shall pay close attention to the asymptomatic transmission being suggested by rapidly accumulating evidence as dramatic changes in quarantine protocol are required to contain SARS-CoV-2 from spreading globally.,2020-03-05,390.0,13.0,"Transportation, Germs, Culture: A Dynamic Graph Model of COVID-19 Outbreak",138.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544816&utm_source=EC&utm_medium=Connect
" Anxiety, depression, and insomnia occurred to varying degrees among medical workers across the country. Increasing social support may be an effective means of psychological crisis intervention.",2020-03-05,330.0,37.0,Mental Health Status and Coping Strategy of Medical Workers in China During the COVID-19 Outbreak,120.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546108&utm_source=EC&utm_medium=Connect
"The early response significantly decreased the newly-confirmed rate and the newly-confirmed number after 11 days of initiation. The conditional treatment effect estimation showed that provinces responded 1 day earlier could averagely reduce 2.2% newly-confirmed rate and 497.4 newly confirmed cases per 10,000 population per square kilometer.",2020-03-05,595.0,13.0,The Effect of Early Response During COVID-2019 Outbreak: A Quasi Experiment,80.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546113&utm_source=EC&utm_medium=Connect
