Topic_Num,Topic_Perc_Contrib,Keywords,Text
11.0,0.1862,"find, include, psychological, intervention, factor, wuhan, social, conduct, level, information","Our study found more than one third of the medical staff suffered from insomnia symptoms during the COVID-19 outbreak. The related factors were including education level, isolation environment, social psychological worries about the COVID-19 outbreak, and occupation of doctor. Interventions of insomnia on medical staffs were needed considering different social psychological factors."
12.0,0.1174,"covid, renal, related, combination, ncp, ocular, protective, vital, convenient, japan","Conjunctiva may be a transmission way of COVID-19.And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19.Emphasis on the false-negative results is vital."
13.0,0.1028,"case, estimate, public, prediction, february, hubei, ongoing, negative, improve, recommend","The incubation period of COVID-19 is verified to be approximately 5-6 days. The first- and second-generation cases have been well controlled, and the daily number of third-generation cases is gradually decreasing. The epidemic reached a turning point in China except for Hubei on February 6. The control and prevention of cluster events may be the key to final victory."
14.0,0.1569,"severe, respiratory, mortality, acute, syndrome, method, situation, similar, treatment, relate","COVID-19 infection causes severe respiratory disease, similar to severe acute respiratory syndrome coronavirus, and is associated with ICU entry and high mortality. We have studied the origin, epidemiology, treatment methods and other aspects, according to the treatment plan formulated by Wuhan Union Hospital, certified by the Ministry of Health of China, we hope to develop an effective treatment method to reduce the mortality of the disease."
15.0,0.3632,"paper, virus, treatment, publish, january, journal, article, give, source, outbreak","The novel coronavirus (2019-nCoV) outbreak has been traced in China late 2019 and then was transmitted into more than 25 countries. A total of 49 papers have been published in 20 journals during the last January and current February. These papers tried to explain the source of virus, the transmission route, genomic map and the similarity to previous viruses as well as the pathogenesis, symptoms and treatment methods. The huge numbers of the articles which were published on 2019-nCoV make confusing for the readers, since many of the articles are addressed similar topics. In this paper a systematic analysis was conducted for the published articles. The finding of these papers were summarized. Moreover, the present paper aim to highlight the responses of scientists and Journals for the 2019-nCoV outbreak. This paper reviewed 49 peer viewed articles while hundreds article still in the preprint. It was appeared that the Lancet journal has the highest numbers of publications (29%) which given an early alarm for 2019-nCoV. The first paper suggested Baricitinib as potential treatment for 2019-nCoV acute respiratory disease was published on 3 February in the Lancet Journal. In 16 January 2020, the genomic characteristics of the virus was published, followed by several papers on the diagnostic of the virus, pathogenicity and symptoms was more clear on 29 January. The Nature Journal was the fist which given an alarm for the 2019-nCoV outbreak. In conclusion source of 2019-nCoV, treatment methods, as well as vaccines, pathogenicity of the virus in the patient with HIV or other virus infections, transmission to fetus in the pregnant women still need more investigation."
16.0,0.23,"measure, control, prevention, strong, point, individual, expose, infected, beijing, publication",Given that 2019-nCoV could be controlled under the strong prevention measures of what China has taken and it will take about three months. The confirmed infected individuals will still keep quick increasing for 14 days (approximately equal to the sum of exposed period and infection period) after the start time point of control. The strong prevention measures should be insisted until the epidemic Coronavirus. Other domestic places and overseas have confirmed infected individuals should take strong interventions immediately. Earlier strong prevention measures could efficiently stop the independent self-sustaining outbreaks in other cities globally.
17.0,0.1259,"disease, reduce, covid, index, onset, fatal, exceed, chinese, early, resource","The COVID-19 infection was a mass onset, with a strong concealment that is difficult to detect in the early stages, and early detection can reduce the harm of the disease. Due to traffic control and tight medical resources, the inability to treat in a timely manner will lead to worsening of the disease of elderly patients, and even fatal respiratory diseases."
18.0,0.1356,"highly, covid, start, present, medical, suspect, ggo, demonstrate, closure, crucial","The imaging pattern of multifocal patchy peripheral pure ground glass opacity (GGO), mixed GGO or consolidation predominant in the lower lung, with more extensive GGO than consolidation in CT scans within the first week of illness is highly suspicious of 2019-nCoV infection during the outbreak, which may be crucial for early treatment and prompt isolation."
19.0,0.1784,"city, time, work, range, nationwide, high, spring, trace, large, put","The rapid and intensive measures taken by the Chinese government brought Wuhan epidemic under preliminary control. Some factories have resumed work since February 11, 2020, which exist the potential to cause the epidemic to increase again nationwide. In particular, because of the Spring Festival, more than 100 million migrant workers have to rework and 200 million school students at all levels might open the spring semesters. Consequently, its impact on the coronavirus epidemic block should be stressed. The publicity and supervision department should strengthen these two special groups’ epidemic learning and education, monitor their itinerary through a big data platform, and control their health and travel status in real time. It is recommended that migrant workers should not resume their work earlier than Feb. 27, 2020 and the school semester should also postpone to Apr. 1, 2020 at the earliest since large population density of students and their concentrated living and learning place."
20.0,0.1943,"quarantine, provide, isolation, contact, close, infect, effect, fatality, process, longer","The January 2020 coronavirus outbreak has seen many countries plan to ‘self-isolate’ or quarantine people who have potentially come into contact with the infection. Decisions on how to apply quarantine should be based on best available evidence. We conducted a rapid review of the psychological impact of quarantine using three electronic databases. 3166 papers were found and 24 included in the review. The majority of reviewed studies reported negative psychological effects including post-traumatic stress symptoms, confusion and anger. Stressors included longer quarantine duration, infection fears, frustration, boredom, inadequate supplies, inadequate information, financial loss and stigma. Some suggested long-lasting effects. Where quarantine is deemed necessary, officials should quarantine for no longer than necessary; provide clear rationale for quarantine and information about protocols; and ensure sufficient supplies are provided. A"
21.0,0.085,"outbreak, increase, staff, analysis, epidemic, analyse, previous, decrease, set, restriction",Medical staffs who had previous contact with NCP patients exhibited increased psychological problems and perceived social support. The governments should provide psychological services for medical staffs in the front line under the serious epidemic threat.
22.0,0.2987,"prevent, support, capacity, effectively, exist, manage, emergency, strengthen, understand, readiness","Countries vary widely in terms of their capacity to prevent, detect and control outbreaks, which is underpinned by global variances in the strength of health systems to manage health emergencies. Half of all countries analysed in this study currently have in place operational readiness capacities which should enable an effective response to any potential health emergencies including 2019-nCoV. However, it is crucial to integrate/triangulate findings from local risk assessments to fully understand national readiness capacities in relation to 2019-nCoV. Some countries may require external support if cases are identified and the infection spreads rapidly within their borders. As part of the commitment to the IHR (2005) countries should be implementing capacity building action to strengthen their ability to effectively prevent and manage health emergencies and the application of data analysis can support focused targeting of critical gaps that currently exist. Commitment to IHR (2005) also involves collaboration between States Parties to improve capacities for preventing and managing health emergencies which should also be carried out to improve preparedness. This will strengthen global readiness to contain existing outbreaks including the ongoing international spread of 2019-nCoV."
23.0,0.3629,"test, pcr, rt, sample, screen, nucleic, lamp, detection, diagnostic, swab","Novel Corona virus (COVID-19 or 2019-nCoV) is an emerging global health concern that requires a rapid diagnostic test. Quantitative reverse transcription PCR (qRT-PCR) is currently the standard for COVID-19 detection; however, Reverse Transcription Loop-Mediated Isothermal Amplification (RT-LAMP) may allow for faster and cheaper field based testing at point-of-risk. The objective of this study was to develop a rapid screening diagnostic test that could be completed in under 30 minutes. Simulated patient samples were generated by spiking serum, urine, saliva, oropharyngeal swabs, and nasopharyngeal swabs with a portion of the COVID-19 nucleic sequence. The samples were tested using RT-LAMP as well as by conventional qRT-PCR. Specificity of the RT-LAMP was evaluated by also testing against other related coronaviruses. RT-LAMP specifically detected COVID-19 in simulated patient samples. This test was performed in under 30 minutes. This approach could be used for monitoring of exposed individuals or potentially aid with screening efforts in the field and potential ports of entry."
25.0,0.0763,"infection, result, early, stage, current, tool, key, associate, timely, hospitalization","Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases."
26.0,0.2143,"health, develop, care, finding, associate, worker, depression, implement, princess, high","Our findings confirmed 2019-nCoV could easily spread through direct personal contact in a hospital setting and provided compelling evidence that health-care facilities worldwide need to be prepared for possible transmission of this novel coronavirus. Medical workers engaging in daily interaction with their fellow workers should be personally under effective protection against the infection. The health-care workers developing any possible associated symptoms should seek prompt medical attention and be duly isolated, thereby minimizing secondary transmission of 2019-nCoV in health-care associated outbreaks. Adequate protection against exposure to infected patients can effectively protect health-care workers from 2019-nCoV infection."
27.0,0.1609,"patient, system, age, person, identify, admission, transcription, week, characteristic, hope","In our investigation, it was obviously that the COVID-19 can spread through person to person. The main manifestations of the patients were mainly upper respiratory symptoms, and some of the patients were accompanied by symptoms of the digestive system. There was no significant age limit for the infectivity of the population, but elderly people were still vulnerable groups. Patients with diabetes were more likely to develop into severe patients, and the probability of admission to the ICU was significantly increased."
28.0,0.1355,"china, coronavirus, symptom, suggest, cell, people, significant, aim, domestic, continue","2019-nCoV is a novel coronavirus named in 2019. The number of people suffering from the virus kept increasing from China to the world. The initial infection characters of 2019-nCoV has been reported, including the symptoms and blood test results. Cell pyroptosis is a novel inflammatory form of programmed cell death, which has been largely studied recently. Here we noted that some of the 2019-nCoV results could be matched to the cell pyroptosis. This paper is aimed to discuss the relationship between 2019-nCoV infection and cell pyroptosis and put forward a potential hypothesis."
29.0,0.1569,"ncov, potential, coronavirus, response, analysis, independent, study, target, multiple, intensive","Effective countermeasures against the recent emergence and rapid expansion of the 2019-Novel Coronavirus (2019-nCoV) require the development of data and tools to understand and monitor viral spread and immune responses. However, little information about the targets of immune responses to 2019-nCoV is available. We used the Immune Epitope Database and Analysis Resource (IEDB) resource to catalog available data related to other coronaviruses, including SARS-CoV, which has high sequence similarity to 2019-nCoV, and is the best-characterized coronavirus in terms of epitope responses. We identified multiple specific regions in 2019-nCoV that have high homology to SARS virus. Parallel bionformatic predictions identified a priori potential B and T cell epitopes for 2019-nCoV. The independent identification of the same regions using two approaches reflects the high probability that these regions are targets for immune recognition of 2019-nCoV."
30.0,0.0924,"imply, characteristic, nan, disease, significantly, genome, effort, follow, ncip, clinical","The clinical characteristics of NCIP in pregnancy were atypical. In our limited cases, no evidence of vertical transmission was found in NCIP patients with third trimester pregnancy."
31.0,0.1302,"rate, confirm, period, coronavirus, effective, avoid, widely, present, manner, uncertainty","China is still facing a huge challenge of novel coronavirus. However, despite the increasing number of confirmed cases, the current cure rate has exceeded the case fatality rate. There is a positive correlation between the emigration rate of Wuhan population and the number of confirmed cases and the mortality rate in Hubei Province, so we still need to strictly control the outward circulation of Wuhan population."
