Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" Over one-quarter of most viewed YouTube videos on COVID-19 contained misleading information, reaching millions of viewers worldwide. As the current COVID-19 pandemic worsens, public health agencies must better utilize YouTube to deliver timely and accurate information and to minimize the spread of misinformation. This may play a significant role in successfully managing the COVID-19 pandemic.  ",2020-04-20,5.0,204.0,40.8,24.0,YouTube as a Source of Information on COVID-19: A Pandemic of Misinformation?,35.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569884
" Large sample size designed-experiment of Bayesian inference provided an accurate and intuitive understanding on current status of COVID-19 in China. Dynamic prevalence changes implied that a gradually and significant decreasing trend of infection have been formed along with line of strict intervention and screening, but due to uncertainty and variability of pathogen as well as the wide spectrum hosts and various environmental exposure, more risk-based screening and surveillance is further needed. Given institutively recognition on the lower concentrated distribution of current prevalence of COVID-19 and the existence of asymptomatic infections, current predictive value of PPV is not so sensitive to help in making a right decision for confirmed infection in low risk prevailed region. In such circumstance, two solutions are suggested, first is to seek the second or more confirmatory RT-PCR assays that target a different part of genome to increase statistical assurance for positive confirmation. Secondly, if contradictory results of tests are still yielded, the confirmed case should be based more on patient epidemiology history and clinical assessment, rather than just RT-PCR test. ",2020-04-20,5.0,161.0,32.2,41.0,Bayesian Inference and Simulation on True Prevalence of the Coronavirus Disease (COVID-19) in China and Its Screening Diagnostic Evaluation,26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569885
" This cross-sectional study of employees of Japan showed a high prevalence of fear, worry, and workplace harassment related to COVID-19. Most of these findings were associated with poor mental and physical health. Occupational health professionals and primary care physicians, therefore, need to prevent COVID-19 in the workplace and take care of patients at risk of contracting COVID-19.",2020-04-20,5.0,162.0,32.4,11.0,"Fear, Worry and Workplace Harassment Related to the COVID-19 Epidemic Among Employees in Japan: Prevalence and Impact on Mental and Physical Health",34.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569887
" Interrupted time series analysis revealed that Fang Cang Shelter hospitals were likely to reverse the epidemic trend of COVID-19 while containment strategy was implemented in Wuhan. The results provide a valuable reference for health policy makers in countries to which the COVID-19 outbreak has also spread, including Italy, Iran, and Spain.",2020-04-20,5.0,119.0,23.8,28.0,Effects of Fang Cang Shelter Hospitals on the Reduction of COVID-19 New Cases in Wuhan: An Interrupted Time Series Analysis,16.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569888
" Collectively, severe and critical COVID-19 patients exhibit lymphopenia and high level of cytokines, especially impaired T cells, and increased IL-6 or IL-10, which are served as potential biomarkers for disease progression. Therefore, improving lymphopenia and targeting cytokines should be the effective therapeutic strategies for severe and critical COVID-19 patients.",2020-04-20,5.0,194.0,38.8,30.0,Immune Characteristics Predict Outcome of Severe and Critical COVID-19 Patients,43.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569890
" The lymphocytes count and percentage were significantly decreased in critical patients compared to common and severe patients with COVID-19 pneumonia. CD8+T cells were remarkably decreased in critical patients compared to common, severe patients and normal controls, which suggested the decrease of lymphocytes may be attributed to the reduction of T cells in critical patients. The expression of IL-2R, JAK1, and STAT5 decreased in immune cells of common, severe, and critical patients, but IL-2 level was elevated in severe patients and decreased in critical patients with COVID-19 pneumonia.  ",2020-04-20,5.0,139.0,27.8,19.0,The Inhibition of IL-2/IL-2R Gives Rise to CD8+T Cell and Lymphocyte Decrease Through JAK1-STAT5 in Critical Patients with COVID-19 Pneumonia,15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571510
" Whilst differences in mortality due to health service and demographic factors cannot be excluded, the current international differences in reported mortality are all consistent with differences in practice regarding screening, community testing and admission policies.",2020-04-20,5.0,133.0,26.6,12.0,Explaining National Differences in the Mortality of COVID-19: Individual Patient Simulation Model to Investigate the Effects of Testing Policy and Other Factors on Apparent Mortality,20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571519
" Evidence-based policy is crucial to mitigate the negative health impact of pandemics such as COVID-19. While current attention focuses on curbing rates of contagion, we introduce a heuristic tool that can help policy makers to identify the most vulnerable communities. Importantly, we find that this index is correlated to area-level indices of economic deprivation.",2020-04-20,5.0,140.0,28.0,42.0,Population Vulnerability to Unexpected Health Shocks: Geographical Disparities in England at the Time of COVID-19,14.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571524
" Coronary artery bypass graft (CABG) was the most type of surgery in both positive and negative COVID-19 groups. In-hospital mortality was demonstrated in 4 (21%) and 12 (2.8%) patients in positive and negative COVID-19 groups, respectively. Among expired patients in positive COVID-19 cases, one underwent valve surgery and the other 3 patients underwent CABG. Leukocytosis and lymphopenia were both present in the two survived and expired positive COVID-19 groups. However, the median of white blood cell (WBC) count and C-reactive protein (CRP) was higher in patients who expired while the percentage of lymphocyte was lower in these individuals.",2020-04-20,5.0,129.0,25.8,11.0,Early Epidemiological and Survival Characteristics of COVID-19 Patients Undergoing Cardiovascular Surgery,17.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571527
" Prevention of transmissions to the elderly is of great importance, considering their high case fatality rate. National triage systems are required to allocate resources to patients at great risk, and to reduce any preventable deaths. Furthermore, prevention of nosocomial infection should be prioritized, considering the soaring number of deceased patients infected in long-term care facilities.  ",2020-04-20,5.0,160.0,32.0,12.0,Epidemiological and Clinical Characteristics of Early 101 Deceased Patients in the Coronavirus Disease-19 (COVID-19) Outbreak in Republic of Korea,36.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571538
"  Finally, 40 eligible studies with 4183 patients with COVID-19 were used for meta-analysis. The rate of positive CT scan in patients with COVID-19 was 94.5% (95%CI: 91.7-96.3). Bilateral lung involvement, pure ground-glass opacity (GGO), mixed (GGO pulse consolidation or reticular), consolidation, reticular, and presence of nodule findings in CT scan of COVID-19 pneumonia patients were respectively estimated to be 94.5% (95%CI: 91.7-96.3), 64.9% (95%CI: 54.1-74.4), 49.2% (95%CI: 35.7-62.8), 30.3% (95%CI: 19.6-43.6), 17.0% (95%CI: 3.9-50.9) and 16.6% (95%CI: 13.6-20.2). The distribution of lung lesions in patients with COVID-19 pneumonia was peripheral (70.0% [95%CI: 57.8-79.9]), central (3.9% [95%CI: 1.4-10.6]), and peripheral and central (31.1% [95%CI: 19.5-45.8]). The most common pulmonary lobes involved were right lower lobe (86.5% [95%CI: 57.7-96.8]) and left lower lobe (81.0% [95%CI: 50.5-94.7]).  ",2020-04-20,5.0,149.0,29.8,69.0,Computed Tomography Scan Findings in Patients with COVID-19: A Systematic Review and Meta-Analysis,26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571539
" In this study we find some non-critical severe relatively young patients with long illness courses of more than 40 days whose character is different from former studies described. Of course, it needs much more cases to further study. It’s hoped to provide strategy of isolation of infected patients and optimal antiviral interventions in the future.",2020-04-20,5.0,152.0,30.4,11.0,Clinical Characteristics of Pneumonia Patients of Long Courses Infected with SARS-CoV-2,27.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571541
 Most clinical characteristics of COVID-19 are non-specific. Patients with suspected should be evaluated by virological assays and clinically treated.,2020-04-20,5.0,206.0,41.2,105.0,"Clinical Characteristics of 20,662 Patients with COVID-19 Described in 147 Articles: A Systemic Review and Meta-Analysis",48.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571542
" In this single-center case series, critically ill patients with COVID-19 were older and more prone to complications, lower lymphocyte count, cytokine storms, serious liver damage, so they needed further monitoring and therapy. The severity of COVID-19 severely poses great pressure the hospital's intensive care resources.",2020-04-20,5.0,145.0,29.0,37.0,"Clinical Characteristics of Critically Ill Patients with SARS-CoV-2 Infected Pneumonia (COVID-19) in Wenzhou, China: A Retrospective, Single-Center, Descriptive Study",24.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571553
" IL-6 levels were significantly high in hospitalized patients compared with healthy individuals (P &lt; 0.001). The IL-6 level was approximately ten-fold of the normal range in 23.7% of the patients and more than 50% of them signify IL-6 over three-fold of normal range. The levels of BS, LDL, VLDL, ALP, TSH, CRP, platelets, neutrophils, and monocytes were significantly different between patients with diverse levels of IL-6. The values of triglyceride, LDL, VLDL, red blood cells and platelets showed an indirect linear trend and the levels of lactate dehydrogenase, serum glutamic oxaloacetic transaminase, creatine phosphokinase, dehydroepiandrosterone sulfate, and CRP demonstrated a direct linear trend with elevating rate of IL-6. Furthermore, IL-6 levels had a significant and direct correlation with troponin I, CRP, ferritin and pro-calcitonin while it had a significant and indirect correlation with VLDL. A hazardous level of IL-6 probably threatening the critical health factors and has a crucial role in immune-mediated acute lung injury in CIOVID-19 patients.",2020-04-20,5.0,170.0,34.0,36.0,Iran COVID-19 Immunological Study:  Remarkable Level of Interleukin-6 in Iranian COVID-19 Hospitalized Patients,28.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3571554
" A predictive HNC-LL (Hypertension–Neutrophil count–C-reactive protein– Lymphocyte count–  Lactate dehydrogenase) score was established based on multivariate logistic regression analysis results. The HNC-LL score accurately predicted disease severity in the Honghu training cohort (area under the curve [AUC] = 0.861, 95% confidence interval [CI]: 0.800–0.922;  P  &lt;0.001); the Honghu internal validation cohort (AUC = 0.871, 95% CI: 0.769–0.972;  P  &lt;0.001); and the Nanchang external validation cohort (AUC = 0.826, 95% CI: 0.746–0.907;  P  &lt;0.001), and outperformed other models including the CURB-65 score model, MuLBSTA score model, and neutrophil-to-lymphocyte ratio model. Moreover, the clinical significance of HNC-LL in accurately predicting patients with severe COVID-19 in the early phase was confirmed.  ",2020-04-20,5.0,136.0,27.2,23.0,Development and Validation of the HNC-LL Score for Predicting the Severity of Coronavirus Disease 2019,20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572843
" This is the first study of its kind to communicate and evaluate sending an urgent complex public health message at large scale by SMS-video. Our results present striking acceptability and patient satisfaction scores. Its adoption offers a future paradigm shift in mass healthcare communication, and we urge national advisory bodies already using SMS messages to further consider its use.",2020-04-17,8.0,72.0,9.0,27.0,"Rapid Distribution of Complex Patient Information by SMS-Embedded Video Link During a Pandemic: Patient Uptake, Self-Risk Assessment and Feedback",9.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569841
" It is essential to reduce the R0 to values below 1. Therefore, we strongly recommend enforcing and continuing the current preventive measures, mass screening of suspected cases, restricting travel, and providing screening tests for a larger proportion of the population.",2020-04-16,9.0,183.0,20.333333333333332,16.0,"The Basic Reproduction Number and Prediction of the Epidemic Size of the Novel Coronavirus (COVID-19) in Shahroud, Iran",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564420
" RT-PCR is more reliable than CT in initial diagnosis of pediatric patients infected with COVID-19. On follow up, reliable RT-PCR results are not available until at least 7 days after initial symptoms. The optimum time to perform a chest CT examination is 11 to 15 days after the onset of symptoms, and follow-up may be performed if necessary.",2020-04-16,9.0,186.0,20.666666666666668,29.0,Clinical Features and Temporal Changes of RT-PCR and Chest CT in COVID-19 Pediatric Patients: A Diagnostic Strategy Study,25.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566222
" In the Italian COVID-19 pandemia neurological symptoms occur frequently and they should be monitored in patients. Whilst some of the disturbances reported may be common to other infectious diseases and non-specific, smell and taste abnormalities shift the attention on the nervous system as entry door and damage location even for SARS-CoV-2 virus. This interpretation should prime research trials on early therapeutic approaches halting the infection in the nervous system.   ",2020-04-16,9.0,263.0,29.22222222222222,22.0,Neurological Symptoms in Acute COVID-19 Infected Patients: A Survey Among Italian Physicians,50.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569834
" The effects of sustained community transmission would go beyond the cases and deaths seen and the resources needed to respond to these but would also cripple many of the health systems due to health workers falling ill / being quarantined plus have wider social, economic and political effects. It is crucial for countries to avoid a scenario of sustained community transmission of the SARS-CoV-2 therefore. The effect of breaking community transmission, in terms of lives saved, admissions avoided, and the social economic benefits are significant, and most likely outweigh any costs of preventing this scenario. The effectiveness of distancing measures, and better hygiene practices need to be advocated for in all Countries as the most effective approach to managing the COVID-19 pandemic. ",2020-04-16,9.0,237.0,26.333333333333332,37.0,A Predictive Model of the Effects of Sustained Community Transmission of SARS-CoV-2 Infection Across the Countries of the WHO African Region,39.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569842
" Many patients manifested by abnormal urinalysis on admission, including proteinuria or hematuria. Our results revealed that urinalysis is better in unveiling potential kidney impairment of COVID-19 patients than blood chemistry test and urinalysis could be used to reflect and predict the disease severity. We therefore recommend pay more attention in urinalysis and kidney impairment in COVID-19 patients. ",2020-04-16,9.0,193.0,21.444444444444443,27.0,"Urinalysis, but not Blood Biochemistry, Detects the Early Renal-Impairment in Patients with COVID-19",26.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569863
" Fever and cough were the two most common COVID-19 symptoms. Fever predicted the presence of COVID-19 (likelihood ratio of 1.19) and cough did not (likelihood ratio of 0.57). The presence of cough increased the odds of influenza by 1.83 times. When signs and symptoms of upper respiratory infections are used, a naïve Bayes model accurately predicted COVID-19, influenza, and other upper respiratory infections (micro average AROC of 0.79).",2020-04-16,9.0,328.0,36.44444444444444,5.0,Differential Diagnosis of COVID-19 and Influenza: Lessons Learned from COVID-19 Symptoms in China,54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569864
" Covid-19 pandemic represents a worldwide emergency in term of psychological, social and economic consequences. Our data suggests that in the Italian population actual differences in individual perception of the Covid-19 outbreak severity for health are dramatically modulated by psychosocial frailty (i.e., distress and loneliness). At the same time, problem-oriented coping strategies and enhanced empathic abilities increase people awareness about the severity of the impact of Covid-19 emergency on economics. There is an immediate need of consensus guidelines and healthcare policies to support interventions aimed to manage psychosocial distress and increase population resilience towards the imminent crisis.",2020-04-16,9.0,331.0,36.77777777777778,29.0,COVID-19 Outbreak in Italy: Are We Ready for the Psychosocial and Economic Crisis? Baseline Findings from the Longitudinal PsyCovid Study,71.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569868
" The severe COVID-19 pneumonia is associated with various types of risk factors including age, comorbidities, and some laboratory examination indexes. The model integrated with these factors can help to evaluate the disease progression of COVID-19 pneumonia.",2020-04-16,9.0,322.0,35.77777777777778,55.0,A Risk Prediction Model for Evaluating the Disease Progression of COVID-19 Pneumonia Based on Meta-Analysis and 214 Clinical Cases,74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569869
 The temporary cabin hospital provided a good place to cure and quarantine non-severe patients. It greatly relieved the strain of regular hospital and played an important role to eliminate the community transmission and family-clustered transmission. ,2020-04-15,10.0,284.0,28.4,21.0,"Clinical Features and Outcomes of 252 Asymptomatic and Mildly Symptomatic Patients with COVID-19 in a Temporary Cabin Hospital in Wuhan, China",60.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564405
" Risk factors that emerged in our analyses predicting severity and case fatality should inform clinicians to define endophenotypes possessing a greater risk. Estimated case fatality rate of 7.4% after correcting for publication bias underscores the importance of strict adherence to preventive measures, case detection, surveillance and reporting.",2020-04-15,10.0,301.0,30.1,45.0,"Severity and Case Fatality Rates of COVID-19: A Systematic Review, Meta-Analysis and an Exploratory Meta-Regression of Risk Factors",73.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564410
" The antigen-based immunofluorescence RDT showed a high sensitivity and specificity in respiratory samples obtained from patients who mainly presented during the first week of COVID-19, despite the use of a non-validated sample. The assay was easy to use and provided results in a timely manner. It has the potential to become an important tool for early diagnosis of SARS-CoV-2, particularly in situations with limited access to molecular methods.",2020-04-14,11.0,1187.0,107.9090909090909,11.0,Evaluation of Novel Antigen-Based Rapid Detection Test for the Diagnosis of SARS-CoV-2 in Respiratory Samples,250.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569871
" We identified three temporal major cluster of the interest before disease introduction on the topic COVID-2019: China- and Italy-related peaks on all platforms, as well as a peak on social media related to the recent special law on combating COVID-2019. Besides, there was a peak in interest on the day of officially confirmed introduction as well as an exponential increase of interest when the Polish government “declared war against disease” with a massive mitigation program. From sociolingistic perspective, we found that concepts and issues of threat, fear and prevention prevailed before introduction. After introduction, practical concepts about disease and epidemic dominate. We have found out that Twitter reflected the structural division of the Polish political sphere. We were able to identify clear communities of governing party, mainstream oppostition and a protestant group and potential sources of disinformation. We have also detected bluring boundaries between comminities after disease introduction. ",2020-04-10,15.0,28.0,1.866666666666666,91.0,Perception of emergent epidemic of COVID-2019 / SARS CoV-2 on the Polish Internet,167.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572662
" The Corona Virus Disease 2019 (COVID-19) infection was of clustering onset, and can cause severe respiratory disease and even death, especially for elderly patients with chronic disease. The mortality of ICU patients confirmed with COVID-19 was considerably high. The lymphocytes, especially T lymphocytes might be the main target of Corona Virus Disease 2019 (COVID-19) and related to the severity and mortality of disease, and the cytokine storm may be associated with the worsening of the disease. While the source of the virus, epidemiology, pathophysiology, transmission route, the full clinical spectrum of disease and effective treatment still need to be further studied.",2020-04-14,11.0,411.0,37.36363636363637,28.0,"Epidemiological and Clinical Features of 200 Hospitalized Patients with Corona Virus Disease 2019 in Yichang, China: A Descriptive Study",63.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550018
"  We provided a territory-wide overview of COVID-19 in Hong Kong, which has borders connecting to Mainland China. Transmission in closed settings especially during family and religious gatherings is a hallmark of the recently reported cases. The reproduction number value indicated an ongoing outbreak in the community. Rapid isolation of suspected or confirmed cases and their close contacts coupled with robust laboratory surveillance is crucial to the containment of COVID-19 transmission. ",2020-04-14,11.0,291.0,26.454545454545453,26.0,"A Territory-Wide Study of COVID-19 Cases and Clusters with Unknown Source in Hong Kong Community: A Clinical, Epidemiological and Phylogenomic Investigation",39.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559611
"  The median post-discharge follow-up period was 22 days (interquartile range 20~30 days). Of the 370 COVID-19 survivors, no survivors were readmitted due to recurrence of SARS-CoV-2-positive pneumonia. Sixty (16.2%) survivors had post-discharge cough and 45 (12.2%) had breathlessness after activity. One hundred and seventy-three (46.8%) survivors worried about recurrence and 174 (47.0%) worried about infection to others such as their family. Two hundred and ninety-three (79.2%) survivors took a home quarantine lifestyle. Fifty (13.5%) survivors occurred anxiety and 40 (10.8%) survivors occurred depression. Survivors were most bothered by sleeping disorders (29.5%). Four survivors (1.1%) once had thoughts of suicide in several days. Three hundred and fifty-six (96.2%) survivors were willing to return to hospital for health examination. Anxiety was significantly associated with post-discharge respiratory symptoms, worry about recurrence and worry about infection to others (P&lt;0.05). Depression was significantly associated with gender of female, post-discharge respiratory symptoms, worry about recurrence, worry about infection to others and home quarantine lifestyle (P&lt;0.05).  ",2020-04-14,11.0,328.0,29.818181818181817,31.0,"Mental Health Status of Survivors Following COVID-19 in Wuhan, China: A Descriptive Study",63.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559616
" We found that the Ontario healthcare system may be inadequately equipped to manage the expected number of patients with COVID-19. This lack of resources will lead to an increase in mortality. Slowing the spread of the disease and increasing healthcare capacity is vital, though these measures may not completely eliminate stress to the system.",2020-04-14,11.0,239.0,21.727272727272727,22.0,"Potential Magnitude of COVID-19-Induced Healthcare Resource Depletion in Ontario, Canada",41.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564392
" The recurrent positive patients accounted for 8.3% (35/420) of all diagnosed patients and 8.8% (35/399) of discharged patients.A total of 85.7% of the patients had positive RT-PCR test results only at 1–2 sites and tested negative at other sites during their discharge monitoring.The median interval from the first negative RT-PCR to the recurrent positive was ten days (IQR, 7–16). All recurrent positive patients had no fever and 91.4% did not have symptoms. There was no significant change in the abnormal laboratory indicators. The median semi quantitative CT score was 4(2–5.5)(the first discharge) and 2.5(0.25–4) (the second admission), and the score of the second admission was lower than the first discharge (p=0.002).",2020-04-14,11.0,343.0,31.181818181818183,37.0,Clinical Characteristics and Imaging Findings of 35 Patients Recovered from COVID-19 with Recurrent Positive RT-PCR Test Results,74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564400
 The model is not intended to analyse the epidemiology of COVID-19. Our objective is rather to estimate a leading indicator of clinical needs. Having a forecast model available several days in advance can enable governments to more effectively face the gap between needs and resources triggered by the outbreak and thus reduce the deaths caused by COVID-19.,2020-04-14,11.0,213.0,19.363636363636363,13.0,Predicting Clinical Needs Derived from the COVID-19 Pandemic: The Case of Spain,21.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566140
" Eighteen studies were selected to be finally analyzed. The mean percentage of mortality was 14% (I2 = 98.9, P&lt;0.001). The most common symptoms were fever (91%, I2 = 88.5, P &lt;0.001), and cough (71%, I2= 84.5, P &lt;0.001), and the most frequent underlying diseases were hypertension (41%, I2 = 98.9, P &lt;0.001), diabetes (18%, I2 = 88.7, P &lt;0.001) and Cardiovascular disease (11%, I2 = 87.7, P &lt;0.001). ",2020-04-14,11.0,237.0,21.545454545454547,43.0,An Evaluation on the Frequencies of Underlying Diseases and Symptoms Along with the Mortality Rate of COVID-19: A Systematic Review and Meta-Analysis,29.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566142
" From January 23, 2020, to March 16, 2020, there was a 45·1-fold increase in the total confirmed cases. The highest increase occurred on February 3 in 6 provinces, i.e., 12 days from January 23. From February 4–15, the daily number of new confirmed cases gradually decreased by 90% in six provinces. From February 16–27, no new confirmed cases appeared in the 6 provinces. As of March 16, the average rate of severe cases was 10·7% in five provinces, 2·2% in Anhui province, and the total case fatality rate and recovery rate were 0·6% and 98·9%, respectively. ",2020-04-14,11.0,191.0,17.363636363636363,28.0,References of 'Successful Experience' of Epidemic Prevention and Control in Six Provinces of China to 'Global Epidemic',21.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566153
" We examined 284 consecutive COVID-19 cases, accounting for 82% of confirmed cases in Guangzhou during this period. At the time of reporting (20th March 2020), 276 (97·2%) had recovered and were discharged from hospital with a median hospital stay of 18 days (interquartile range [IQR]:13-24). Overall, 280 patients achieved viral RNA clearance with a median length of 12 days (IQR: 8-16) after onset of illness. Amongst them, 66·1% had viral RNA cleared within 14 days, and 89·3% within 21 days. Older age, severity of disease, time lag from illness onset to hospital admission, high body temperature, and corticosteroid use were associated with delayed clearance of viral RNA. None of the antiviral regimens (chloroquine, oseltamivir, arbidol, and lopinavir/ritonavir) improved viral RNA clearance. The use of lopinavir/ritonavir or the combination of two antiviral drugs was associated with delayed clearance of viral RNA after adjusting for confounders. ",2020-04-14,11.0,244.0,22.181818181818183,16.0,"Associations of Clinical Characteristics and Antiviral Drugs with Viral RNA Clearance in Patients with COVID-19 in Guangzhou, China",33.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566234
