Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
15,19.0,0.1133,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," The lymphocytes count and percentage were significantly decreased in critical patients compared to common and severe patients with COVID-19 pneumonia. CD8+T cells were remarkably decreased in critical patients compared to common, severe patients and normal controls, which suggested the decrease of lymphocytes may be attributed to the reduction of T cells in critical patients. The expression of IL-2R, JAK1, and STAT5 decreased in immune cells of common, severe, and critical patients, but IL-2 level was elevated in severe patients and decreased in critical patients with COVID-19 pneumonia.  "
16,41.0,0.0494,"difference, show, significant, observe, tool, result, glucose, analysis, gt, confirm"," Whilst differences in mortality due to health service and demographic factors cannot be excluded, the current international differences in reported mortality are all consistent with differences in practice regarding screening, community testing and admission policies."
17,25.0,0.1352,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," Evidence-based policy is crucial to mitigate the negative health impact of pandemics such as COVID-19. While current attention focuses on curbing rates of contagion, we introduce a heuristic tool that can help policy makers to identify the most vulnerable communities. Importantly, we find that this index is correlated to area-level indices of economic deprivation."
18,42.0,0.1492,"patient, compare, demonstrate, cancer, years_old, blood, lymphopenia, approximately, surgery, expire"," Coronary artery bypass graft (CABG) was the most type of surgery in both positive and negative COVID-19 groups. In-hospital mortality was demonstrated in 4 (21%) and 12 (2.8%) patients in positive and negative COVID-19 groups, respectively. Among expired patients in positive COVID-19 cases, one underwent valve surgery and the other 3 patients underwent CABG. Leukocytosis and lymphopenia were both present in the two survived and expired positive COVID-19 groups. However, the median of white blood cell (WBC) count and C-reactive protein (CRP) was higher in patients who expired while the percentage of lymphocyte was lower in these individuals."
19,4.0,0.0562,"system, national, information, process, point, great, occur, efficiency, cepe, diarrhea"," Prevention of transmissions to the elderly is of great importance, considering their high case fatality rate. National triage systems are required to allocate resources to patients at great risk, and to reduce any preventable deaths. Furthermore, prevention of nosocomial infection should be prioritized, considering the soaring number of deceased patients infected in long-term care facilities.  "
20,14.0,0.3124,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass","  Finally, 40 eligible studies with 4183 patients with COVID-19 were used for meta-analysis. The rate of positive CT scan in patients with COVID-19 was 94.5% (95%CI: 91.7-96.3). Bilateral lung involvement, pure ground-glass opacity (GGO), mixed (GGO pulse consolidation or reticular), consolidation, reticular, and presence of nodule findings in CT scan of COVID-19 pneumonia patients were respectively estimated to be 94.5% (95%CI: 91.7-96.3), 64.9% (95%CI: 54.1-74.4), 49.2% (95%CI: 35.7-62.8), 30.3% (95%CI: 19.6-43.6), 17.0% (95%CI: 3.9-50.9) and 16.6% (95%CI: 13.6-20.2). The distribution of lung lesions in patients with COVID-19 pneumonia was peripheral (70.0% [95%CI: 57.8-79.9]), central (3.9% [95%CI: 1.4-10.6]), and peripheral and central (31.1% [95%CI: 19.5-45.8]). The most common pulmonary lobes involved were right lower lobe (86.5% [95%CI: 57.7-96.8]) and left lower lobe (81.0% [95%CI: 50.5-94.7]).  "
21,33.0,0.0511,"study, treatment, trial, phase, clinical, chinese, medicine, effective, preliminary, integrate"," In this study we find some non-critical severe relatively young patients with long illness courses of more than 40 days whose character is different from former studies described. Of course, it needs much more cases to further study. It’s hoped to provide strategy of isolation of infected patients and optimal antiviral interventions in the future."
22,44.0,0.0419,"patient, management, hospitalize, treat, impairment, eosinophil, biochemical, shed, offer, diagnostic", Most clinical characteristics of COVID-19 are non-specific. Patients with suspected should be evaluated by virological assays and clinically treated.
23,48.0,0.0726,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," In this single-center case series, critically ill patients with COVID-19 were older and more prone to complications, lower lymphocyte count, cytokine storms, serious liver damage, so they needed further monitoring and therapy. The severity of COVID-19 severely poses great pressure the hospital's intensive care resources."
24,1.0,0.3655,"level, crp, elevate, dimer, correlation, range, significant, lactate_dehydrogenase, normal, ferritin"," IL-6 levels were significantly high in hospitalized patients compared with healthy individuals (P &lt; 0.001). The IL-6 level was approximately ten-fold of the normal range in 23.7% of the patients and more than 50% of them signify IL-6 over three-fold of normal range. The levels of BS, LDL, VLDL, ALP, TSH, CRP, platelets, neutrophils, and monocytes were significantly different between patients with diverse levels of IL-6. The values of triglyceride, LDL, VLDL, red blood cells and platelets showed an indirect linear trend and the levels of lactate dehydrogenase, serum glutamic oxaloacetic transaminase, creatine phosphokinase, dehydroepiandrosterone sulfate, and CRP demonstrated a direct linear trend with elevating rate of IL-6. Furthermore, IL-6 levels had a significant and direct correlation with troponin I, CRP, ferritin and pro-calcitonin while it had a significant and indirect correlation with VLDL. A hazardous level of IL-6 probably threatening the critical health factors and has a crucial role in immune-mediated acute lung injury in CIOVID-19 patients."
25,0.0,0.2778,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base"," A predictive HNC-LL (Hypertension–Neutrophil count–C-reactive protein– Lymphocyte count–  Lactate dehydrogenase) score was established based on multivariate logistic regression analysis results. The HNC-LL score accurately predicted disease severity in the Honghu training cohort (area under the curve [AUC] = 0.861, 95% confidence interval [CI]: 0.800–0.922;  P  &lt;0.001); the Honghu internal validation cohort (AUC = 0.871, 95% CI: 0.769–0.972;  P  &lt;0.001); and the Nanchang external validation cohort (AUC = 0.826, 95% CI: 0.746–0.907;  P  &lt;0.001), and outperformed other models including the CURB-65 score model, MuLBSTA score model, and neutrophil-to-lymphocyte ratio model. Moreover, the clinical significance of HNC-LL in accurately predicting patients with severe COVID-19 in the early phase was confirmed.  "
26,5.0,0.0458,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," This is the first study of its kind to communicate and evaluate sending an urgent complex public health message at large scale by SMS-video. Our results present striking acceptability and patient satisfaction scores. Its adoption offers a future paradigm shift in mass healthcare communication, and we urge national advisory bodies already using SMS messages to further consider its use."
27,63.0,0.0782,"screen, timely, current, screening, base, assessment, dynamic, large, surveillance, confirmation"," It is essential to reduce the R0 to values below 1. Therefore, we strongly recommend enforcing and continuing the current preventive measures, mass screening of suspected cases, restricting travel, and providing screening tests for a larger proportion of the population."
28,43.0,0.1173,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," RT-PCR is more reliable than CT in initial diagnosis of pediatric patients infected with COVID-19. On follow up, reliable RT-PCR results are not available until at least 7 days after initial symptoms. The optimum time to perform a chest CT examination is 11 to 15 days after the onset of symptoms, and follow-up may be performed if necessary."
29,30.0,0.0799,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," In the Italian COVID-19 pandemia neurological symptoms occur frequently and they should be monitored in patients. Whilst some of the disturbances reported may be common to other infectious diseases and non-specific, smell and taste abnormalities shift the attention on the nervous system as entry door and damage location even for SARS-CoV-2 virus. This interpretation should prime research trials on early therapeutic approaches halting the infection in the nervous system.   "
30,25.0,0.143,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," The effects of sustained community transmission would go beyond the cases and deaths seen and the resources needed to respond to these but would also cripple many of the health systems due to health workers falling ill / being quarantined plus have wider social, economic and political effects. It is crucial for countries to avoid a scenario of sustained community transmission of the SARS-CoV-2 therefore. The effect of breaking community transmission, in terms of lives saved, admissions avoided, and the social economic benefits are significant, and most likely outweigh any costs of preventing this scenario. The effectiveness of distancing measures, and better hygiene practices need to be advocated for in all Countries as the most effective approach to managing the COVID-19 pandemic. "
31,48.0,0.1044,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," Many patients manifested by abnormal urinalysis on admission, including proteinuria or hematuria. Our results revealed that urinalysis is better in unveiling potential kidney impairment of COVID-19 patients than blood chemistry test and urinalysis could be used to reflect and predict the disease severity. We therefore recommend pay more attention in urinalysis and kidney impairment in COVID-19 patients. "
32,69.0,0.154,"case, common, cough, fever, symptom, manifestation, sign, fatigue, closely, odd"," Fever and cough were the two most common COVID-19 symptoms. Fever predicted the presence of COVID-19 (likelihood ratio of 1.19) and cough did not (likelihood ratio of 0.57). The presence of cough increased the odds of influenza by 1.83 times. When signs and symptoms of upper respiratory infections are used, a naïve Bayes model accurately predicted COVID-19, influenza, and other upper respiratory infections (micro average AROC of 0.79)."
33,25.0,0.1101,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," Covid-19 pandemic represents a worldwide emergency in term of psychological, social and economic consequences. Our data suggests that in the Italian population actual differences in individual perception of the Covid-19 outbreak severity for health are dramatically modulated by psychosocial frailty (i.e., distress and loneliness). At the same time, problem-oriented coping strategies and enhanced empathic abilities increase people awareness about the severity of the impact of Covid-19 emergency on economics. There is an immediate need of consensus guidelines and healthcare policies to support interventions aimed to manage psychosocial distress and increase population resilience towards the imminent crisis."
34,56.0,0.0516,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," The severe COVID-19 pneumonia is associated with various types of risk factors including age, comorbidities, and some laboratory examination indexes. The model integrated with these factors can help to evaluate the disease progression of COVID-19 pneumonia."
35,20.0,0.0511,"covid, hospital, report, pathogen, greatly, cluster, speed, shanghai, day, pediatric", The temporary cabin hospital provided a good place to cure and quarantine non-severe patients. It greatly relieved the strain of regular hospital and played an important role to eliminate the community transmission and family-clustered transmission. 
36,56.0,0.0625,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," Risk factors that emerged in our analyses predicting severity and case fatality should inform clinicians to define endophenotypes possessing a greater risk. Estimated case fatality rate of 7.4% after correcting for publication bias underscores the importance of strict adherence to preventive measures, case detection, surveillance and reporting."
37,21.0,0.0515,"diagnosis, important, highly, clinical, limit, routine, testing, guide, novel_coronavirus, criterion"," The antigen-based immunofluorescence RDT showed a high sensitivity and specificity in respiratory samples obtained from patients who mainly presented during the first week of COVID-19, despite the use of a non-validated sample. The assay was easy to use and provided results in a timely manner. It has the potential to become an important tool for early diagnosis of SARS-CoV-2, particularly in situations with limited access to molecular methods."
38,53.0,0.3039,"identify, relate, peak, major, contribute, potential, introduction, issue, political, measure"," We identified three temporal major cluster of the interest before disease introduction on the topic COVID-2019: China- and Italy-related peaks on all platforms, as well as a peak on social media related to the recent special law on combating COVID-2019. Besides, there was a peak in interest on the day of officially confirmed introduction as well as an exponential increase of interest when the Polish government “declared war against disease” with a massive mitigation program. From sociolingistic perspective, we found that concepts and issues of threat, fear and prevention prevailed before introduction. After introduction, practical concepts about disease and epidemic dominate. We have found out that Twitter reflected the structural division of the Polish political sphere. We were able to identify clear communities of governing party, mainstream oppostition and a protestant group and potential sources of disinformation. We have also detected bluring boundaries between comminities after disease introduction. "
39,6.0,0.1078,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," The Corona Virus Disease 2019 (COVID-19) infection was of clustering onset, and can cause severe respiratory disease and even death, especially for elderly patients with chronic disease. The mortality of ICU patients confirmed with COVID-19 was considerably high. The lymphocytes, especially T lymphocytes might be the main target of Corona Virus Disease 2019 (COVID-19) and related to the severity and mortality of disease, and the cytokine storm may be associated with the worsening of the disease. While the source of the virus, epidemiology, pathophysiology, transmission route, the full clinical spectrum of disease and effective treatment still need to be further studied."
40,65.0,0.0802,"covid, early_stage, management, close, recommend, wide, rapid, characterize, medical_staff, susceptible","  We provided a territory-wide overview of COVID-19 in Hong Kong, which has borders connecting to Mainland China. Transmission in closed settings especially during family and religious gatherings is a hallmark of the recently reported cases. The reproduction number value indicated an ongoing outbreak in the community. Rapid isolation of suspected or confirmed cases and their close contacts coupled with robust laboratory surveillance is crucial to the containment of COVID-19 transmission. "
41,73.0,0.3418,"quarantine, survivor, stress, worry, improve, post, anxiety, depression, family, physical","  The median post-discharge follow-up period was 22 days (interquartile range 20~30 days). Of the 370 COVID-19 survivors, no survivors were readmitted due to recurrence of SARS-CoV-2-positive pneumonia. Sixty (16.2%) survivors had post-discharge cough and 45 (12.2%) had breathlessness after activity. One hundred and seventy-three (46.8%) survivors worried about recurrence and 174 (47.0%) worried about infection to others such as their family. Two hundred and ninety-three (79.2%) survivors took a home quarantine lifestyle. Fifty (13.5%) survivors occurred anxiety and 40 (10.8%) survivors occurred depression. Survivors were most bothered by sleeping disorders (29.5%). Four survivors (1.1%) once had thoughts of suicide in several days. Three hundred and fifty-six (96.2%) survivors were willing to return to hospital for health examination. Anxiety was significantly associated with post-discharge respiratory symptoms, worry about recurrence and worry about infection to others (P&lt;0.05). Depression was significantly associated with gender of female, post-discharge respiratory symptoms, worry about recurrence, worry about infection to others and home quarantine lifestyle (P&lt;0.05).  "
42,29.0,0.0456,"healthcare, lead, provide, household, closure, school, parameter, obligation, reduction, mutation"," We found that the Ontario healthcare system may be inadequately equipped to manage the expected number of patients with COVID-19. This lack of resources will lead to an increase in mortality. Slowing the spread of the disease and increasing healthcare capacity is vital, though these measures may not completely eliminate stress to the system."
43,46.0,0.1368,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb"," The recurrent positive patients accounted for 8.3% (35/420) of all diagnosed patients and 8.8% (35/399) of discharged patients.A total of 85.7% of the patients had positive RT-PCR test results only at 1–2 sites and tested negative at other sites during their discharge monitoring.The median interval from the first negative RT-PCR to the recurrent positive was ten days (IQR, 7–16). All recurrent positive patients had no fever and 91.4% did not have symptoms. There was no significant change in the abnormal laboratory indicators. The median semi quantitative CT score was 4(2–5.5)(the first discharge) and 2.5(0.25–4) (the second admission), and the score of the second admission was lower than the first discharge (p=0.002)."
44,0.0,0.0474,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base", The model is not intended to analyse the epidemiology of COVID-19. Our objective is rather to estimate a leading indicator of clinical needs. Having a forecast model available several days in advance can enable governments to more effectively face the gap between needs and resources triggered by the outbreak and thus reduce the deaths caused by COVID-19.
45,54.0,0.1017,"lt, total, result, die, severe, cardiovascular, affect, area, pregnancy, associate"," Eighteen studies were selected to be finally analyzed. The mean percentage of mortality was 14% (I2 = 98.9, P&lt;0.001). The most common symptoms were fever (91%, I2 = 88.5, P &lt;0.001), and cough (71%, I2= 84.5, P &lt;0.001), and the most frequent underlying diseases were hypertension (41%, I2 = 98.9, P &lt;0.001), diabetes (18%, I2 = 88.7, P &lt;0.001) and Cardiovascular disease (11%, I2 = 87.7, P &lt;0.001). "
46,68.0,0.3246,"case, number, province, rate, confirm, february, hubei_province, increase, decrease, january"," From January 23, 2020, to March 16, 2020, there was a 45·1-fold increase in the total confirmed cases. The highest increase occurred on February 3 in 6 provinces, i.e., 12 days from January 23. From February 4–15, the daily number of new confirmed cases gradually decreased by 90% in six provinces. From February 16–27, no new confirmed cases appeared in the 6 provinces. As of March 16, the average rate of severe cases was 10·7% in five provinces, 2·2% in Anhui province, and the total case fatality rate and recovery rate were 0·6% and 98·9%, respectively. "
47,5.0,0.238,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," We examined 284 consecutive COVID-19 cases, accounting for 82% of confirmed cases in Guangzhou during this period. At the time of reporting (20th March 2020), 276 (97·2%) had recovered and were discharged from hospital with a median hospital stay of 18 days (interquartile range [IQR]:13-24). Overall, 280 patients achieved viral RNA clearance with a median length of 12 days (IQR: 8-16) after onset of illness. Amongst them, 66·1% had viral RNA cleared within 14 days, and 89·3% within 21 days. Older age, severity of disease, time lag from illness onset to hospital admission, high body temperature, and corticosteroid use were associated with delayed clearance of viral RNA. None of the antiviral regimens (chloroquine, oseltamivir, arbidol, and lopinavir/ritonavir) improved viral RNA clearance. The use of lopinavir/ritonavir or the combination of two antiviral drugs was associated with delayed clearance of viral RNA after adjusting for confounders. "
48,73.0,0.0962,"quarantine, survivor, stress, worry, improve, post, anxiety, depression, family, physical"," The stress levels of medical workers in the fever clinic during the COVID-19 epidemic were acceptably moderate. The stress levels were associated with their worries about health of their own and their family members, the spread of the virus and changes in their work. Management focus on their sources of stress to medical workers should be helpful and worth recommending in fighting with COVID-19."
49,38.0,0.1074,"health, public, mental, work, state, prioritize, lockdown, significance, carry, learning"," Even though this research is limited by its cross-sectional design, it is possible to infer that mental health varies by demographic attributes, obligations and health behaviours. Those who report higher distress must work outside during quarantine, live with an elderly person and carry a risk factor for COVID-19, among other factors. Identifying those who are most vulnerable would help to prioritize those who may need the greatest psychological aid and assist public health practitioners in developing support strategies."
50,34.0,0.0453,"pneumonia, complication, triage, intensive, society, conduct, esp, series, serum, parameter"," Compared with NCR, bNC has the potential to be used for early risk stratification in patients with COVID19 infection. The relationship between bNC and mortality was U-shaped. The safe range of bNC was 1.64 to 4.0 ×10 9  /L. Identifying the correlation may be helpful for early risk stratification and medical decision making."
51,45.0,0.1181,"country, time, index, month, presence, travel, establish, testing, australia, maker"," This disease knows no boundaries and spreads strikingly fast. Evidences indicate that the number of cases and deaths could grow exponentially for the coming weeks if not months. The CFR is high even for countries having high HAQ Index as countries having the finest health such as USA and Italy are struggling to contain the pandemic. On contrary, evidence from China indicates that quarantine, lockdowns and travel restrictions helped China to contain the pandemic in few months’ time, thus countries having low HAQ Index should well prepared to limit the movement of its citizens."
52,9.0,0.0548,"include, support, analysis, organ, ventilation, ard, individual, biomarker, ventilatory, strategy"," To slow down the spread of COVID-19 in the community, multidimensional measures including early identification and quarantined with appropriate supported infrastructure (including testing tools and hospital beds) to limit its spread in the community were needed.     "
53,55.0,0.0654,"covid, low, recommend, admission, manifest, strongly, addition, inhibitor, research, nursing", Results of the present study indicate no adverse outcome of COVID-19 in patients prescribed with ARBs or ACE inhibitors. These results support the sustained use of ARBs and ACE inhibitors in SARS-CoV-2 infection.
54,23.0,0.0766,"early, progression, facilitate, identification, week, helpful, ldh, invasive_ventilation, rapid, age"," NLR as inflammatory markers with rapid, convenient characteristics, NLR≥2.22 could be utilized as a predicting indicator for the early recognition COVID-19 and facilitate detection timely; meanwhile, NLR≥4.06 and lymphocytes≤0.765 were as predicting indicator for severe COVID-19 and can facilitate to further prevent worse progress of clinical course. In addition, cough, shortness of breath, abnormal chest radiological findings were also associated with worse outcome."
55,47.0,0.1349,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," Lifting containment in a single step without implementing systematic screening resulted in similar number of deaths (130 per 100,000) than doing nothing. In this scenario, intensive care units were overrun and most patients did not have access to mechanical ventilation. Adding screening only marginally decrease total mortality (128 per 100,000). Lifting containment in two (&lt;65, &gt;= 65) or three steps (&lt;41,41-64,&gt;= 65), as well as adding testing to later resulted in significant decrease in mortality (15.5 to 13.3 per 100,000). The availability of a new effective treatment only marginally reduce mortality in the one-step strategy as most patients would not have access to it."
56,70.0,0.1057,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," The analyses demonstrated the importance of societal and social psychological factors in the spread of the COVID-19 epidemic. By considering multiple perspectives, our study showed that country differences in Europe are major and this will have an impact on how countries will cope with the ongoing crisis in the following months. The results underline the role of high institutional trust which is important when health authorities and governments are instructing people to keep distance from each other. Our results indicate the importance of timely restrictions and cooperation with people. Without institutional trust it is very difficult to regulate epidemics such as COVID-19 in European democratic societies."
57,0.0,0.2412,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base"," No difference in major symptoms was observed between dying and discharged patients, whereas variations in vital signs and results of laboratory tests were observed. Among these indicators, NLR, albumin, lactate dehydrogenase, urea nitrogen, and D-dimer show greater differences and have better regression coefficients (β) when using hierarchical comparisons in a multivariate logistic regression model. Predictors of mortality based on better regression coefficients (β) included NLR (OR=31.2, 95% CI 6.7–144.5, p&lt;0.0001), albumin (OR=0.0, 95% CI 0.0–0.2, p&lt;0.0001), lactate dehydrogenase (OR=73.4, 95% CI 11.8–456.8, p&lt;0.0001), urea nitrogen (OR=12.0, 95% CI 3.0–48.4, p=0.0005), and D-dimer (OR=13.6, 95% CI 3.4–54.9, p=0.0003). According to the above indicators, a predictive NLAUD score was calculated on the basis of a multivariate logistic regression model to predict mortality. This model showed a sensitivity of 0.889, specificity of 0.984, and a better predictive ability than CURB-65 (AUROC = 0.955 vs. 0.703, p &lt; 0.001)."
58,59.0,0.0762,"spread, prevent, give, place, order, clue, sars_cov, set, decisive, estimate"," The developed model is not only an important tool to predict the disease spread, but also gives some significant clues about the main factors that affect to the COVID-19 spread, and quantifies the effects of partial and total lockdowns as well."
59,19.0,0.0584,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," FBG is a representative of the clustered indicators of multi-organ injury and the earliest predictor for poor outcomes and death in COVID patients. As it is easy to perform for clinical practices and self-monitoring, FBG testing will be much helpful for predicting critical condition to facilitate appropriate intensive care."
60,56.0,0.0486,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," Cardiovascular risk factors appear to be common among patients with COVID-19 and are associated with a higher risk for a complicated course. Cardiac complications and post discharge outcomes are seldom reported, indicating a need for better reporting and monitoring of adverse cardiac events among COVID-19 hospitalizations. These data may be biased with selective reporting, underscoring the need for further studies.   "
61,34.0,0.0816,"pneumonia, complication, triage, intensive, society, conduct, esp, series, serum, parameter"," In our study, the clinical symptoms of ESP-infected COVID-19 displayed marked differences from those reported common COVID-19 pneumonia cases. Additionally, the health care workers were confirmed to expose great risk in ESP with COVID-19 pneumonia. Management guidelines of ESP were described in our paper."
62,52.0,0.1221,"covid, clinical, outcome, characteristic, pregnant_woman, sar, great, bad, mer, maternal"," The clinical characteristics and outcomes of pregnant women with COVID-19 appear good and were similar to non-pregnant women in this study. Based on our findings, there is currently no evidence to indicate that pregnant women were more susceptible to the occurrence and severe adverse outcomes of COVID-19 than general population."
63,28.0,0.0348,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea"," A combination of infection control measures, virological and metagenomic analyses contained the early spread of SARS-CoV-2 in Hamburg to a cluster of three patients and revealed the viral transmission routes."
64,38.0,0.0426,"health, public, mental, work, state, prioritize, lockdown, significance, carry, learning"," This paper supports authorities and health specialists in providing suggestions on the importance of correctly prioritizing resources in the short-term to combat COVID-19 in Brazil. In addition, other low- and middle-income nations will also benefit from these insights.   "
65,13.0,0.0791,"outbreak, emergency, improve, response, effective, infectious, capacity, manage, detect, highly"," The off-campus triage system is an effective approach to improve detection of COVID-19 infection, reduce in-hospital cross-infection, and improve patient satisfaction. This triage system could be applied in future infectious disease outbreaks."
