Abstract,Date,Downloads,Refrences,,,Search,Views,url
"Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, impaired consciousness and skeletal muscle injury.",2020-03-02,3333.0,18.0,23,144.913043478261,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: A Retrospective Case Series Study",863.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544840&utm_source=EC&utm_medium=Connect
" This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection.",2020-03-18,640.0,29.0,7,91.4285714285714,Hand and Respiratory Hygiene Practices and the Risk and Transmission of Human Coronavirus Infections in a UK Community Cohort,188.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551360
" Exposure to potentially crowded places, public transport and to individuals with a cold increases risk of acquiring circulating acute respiratory infections. This suggests social distancing measures can have an important impact on slowing transmission of emerging respiratory infections.",2020-03-19,449.0,31.0,6,74.8333333333333,Public Activities Preceding the Onset of Acute Respiratory Infection Syndromes in Adults in England - Implications for the Use of Social Distancing to Control Pandemic Respiratory Infections,101.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551361
"Compared with severe patient infected with SARS-CoV-2, mild patients with COVID-19 in our study were mostly female with a mean age of 49.2 years, and a considerable proportion of patients were no symptom.",2020-03-18,519.0,28.0,7,74.1428571428571,Clinical Findings of 100 Mild Cases of COVID-19 in Wuhan: A Descriptive Study,136.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551332
" Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. ",2020-03-18,515.0,20.0,7,73.5714285714286,Mental Health Status of Doctors and Nurses During COVID-19 Epidemic in China,179.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551329
"S-COVID-19-P could be identified early by a machine-learning model only used collected clinical information without CT images on admission in fever clinics with 100% recall score. The well performed and validated model has been deployed as an online triage tool, which is available at: https://intensivecare.shinyapps.io/COVID19/ .",2020-03-19,404.0,12.0,6,67.3333333333333,A Novel Triage Tool of Artificial Intelligence Assisted Diagnosis Aid System for Suspected COVID-19 Pneumonia in Fever Clinics,74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551355
Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.,2020-03-19,400.0,36.0,6,66.6666666666667,Multicenter Development and Validation of a Novel Risk Nomogram for Early Prediction of Severe 2019-Novel Coronavirus Pneumonia,121.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551365
"Of 301 hospitalized COVID-19 patients, the median age was 58 years and 51.2% were male. The median period between symptoms presence and positive SARS-CoV-2 RT-PCR results was 16 days (IQR, 10-23, N=301). The median period between symptoms presence and an effective negative SARS-CoV-2 RT-PCR result was 20 days (IQR, 17-24; N=216). Infected patient ≥65 years old stayed contagious longer (22 days vs 19 days, p=0.015). Although two consecutive negative results were confirmed in 70 patients, 30% of them had positive viral test results for the third time. Using specimens from nasal swabs to run the RT-PCR test showed a higher positive rate than using specimens from throat swabs.",2020-03-10,990.0,21.0,15,66,"Dynamic Profile of RT-PCR Findings from 301 COVID-19 Patients in Wuhan, China: A Descriptive Study",222.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548769&utm_source=EC&utm_medium=Connect
"The infection of the 2019-nCoV can result in severe and even fatal respiratory disease like ARDS. It is very important to actively prevent complications and secondary infections, treat underlying diseases, and provide timely organ function support. Early diagnosis, early isolation, multiple treatment, and intervention of CRRT and ECMO when necessary can effectively reduce mortality caused by severe coronavirus pneumonia.",2020-01-27,3803.0,18.0,58,65.5689655172414,"Epidemiological and Clinical Characteristics of 99 Cases of 2019-Novel Coronavirus (2019-nCoV) Pneumonia in Wuhan, China",1069.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3523861&utm_source=EC&utm_medium=Connect
"Patients with underlying disease and the confirmation time &gt; 10 days were more likely to develop to critical type. The critical type patients had higher risk of infection, respiratory depression, circulatory collapse, and complications. The strategy of lung-protective mechanical ventilation and restrictive fluid management should be strictly followed.",2020-03-23,131.0,27.0,2,65.5,"Clinical Characteristics and Current Treatment of Critically Ill Patients with COVID-19 Outside Wuhan, China: A Multicenter, Retrospective, Observational Study",35.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551426
"COVID-19 patients with diarrhea suffered discomfort longer, as compared with COVID-19 pneumonia patients without diarrhea. The elimination of SARS-CoV-2 from digestive system took much more time than that from respiratory system, in some COVID-19 patients with diarrhea.",2020-03-10,952.0,23.0,15,63.4666666666667,Clinical Characteristics of SARS-CoV-2 Infected Pneumonia with Diarrhea,164.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546120&utm_source=EC&utm_medium=Connect
The predictive effect of CD3+ lymphocyte typing count on the clinical outcome of COVID-19 was better than that of routine lymphocyte count. Elevated at-admission procalcitonin and prothrombin time were independent prognostic factors for death.,2020-03-05,1254.0,18.0,20,62.7,"Clinical and Laboratory Factors Predicting the Prognosis of Patients with COVID-19: An Analysis of 127 Patients in Wuhan, China",322.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546118&utm_source=EC&utm_medium=Connect
"The 2019-nCoV may have a higher pandemic risk than SARS broken out in 2003. The implemented public-health efforts have significantly decreased the pandemic risk of 2019-nCoV. However, more rigorous control and prevention strategies and measures to contain its further spread.",2020-02-05,3047.0,12.0,49,62.1836734693878,Transmission Dynamics of 2019 Novel Coronavirus (2019-nCoV),930.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3526307&utm_source=EC&utm_medium=Connect
"We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-12,766.0,35.0,13,58.9230769230769,Precautions Are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,165.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550013
"Pregnancy and childbirth did not aggravate the course of symptoms or CT features of COVID-19 Pneumonia. Pregnant women with COVID-19 pneumonia were mostly mild type, presenting with clinical features and CT imaging progression pattern similar to those of non-pregnant women. No infection was found in the newborns. In this report, the pregnant women achieved a good recovery without use of antiviral drugs.",2020-03-06,1089.0,18.0,19,57.3157894736842,Pregnancy and Perinatal Outcomes of Women with COVID-19 Pneumonia: A Preliminary Analysis,268.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548758&utm_source=EC&utm_medium=Connect
"The outbreak of COVID-19 is predominant in Hubei. The fatality is lower outside Hubei, a reflection of effective quarantine measures and medical care. The underestimated cases due to false-negative nucleic acid tests implies an actual lower fatality than the current estimation. The implication of broadened clinical diagnosis criteria in Hubei results in a sharp upswing in COVID-19 cases yet this could essentially counteract the underestimation of diagnosis and ensure prompt medical intervention to highly suspected cases. The interim gap in the knowledge of the actual dynamics of COVID-19 and heterogeneity of geographic differences need fulfilment by investigation on demographic characteristics and risk factors among population in various regions.",2020-02-20,1934.0,19.0,34,56.8823529411765,Dynamics of the Latest 2019 Novel Coronavirus Disease Epidemic in China: A Descriptive Study,233.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539671&utm_source=EC&utm_medium=Connect
"We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative.",2020-03-18,388.0,15.0,7,55.4285714285714,Epidemiologic Features and Clinical Findings of COVID-19-Infected Patients in Suzhou,96.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551352
"The identified independent risk factors (elevated TnT, CRP, and D-dimer, and declined PaO2/FiO2) suggest that fatality due to COVID-19 was associated with multiple organ dysfunction. The independent risk factors found in this research can help identify the high-risk patients of COVID-19 with poor prognosis in order to offer early warning and intervention, and also help funnel the flow of patient with COVID-19.",2020-03-03,1182.0,32.0,22,53.7272727272727,"Clinical Characteristics And Risk Factors For Fatal Outcome in Patients With 2019-Coronavirus Infected Disease (COVID-19) in Wuhan, China",342.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546069&utm_source=EC&utm_medium=Connect
"14,592 respondents who were evaluated on psychological status in 31 provinces, autonomous regions, municipalities of China were included in the study, with a positive detection rate of SRQ-20, PHQ-9, GAD-7 being 33.2%, 53.5%, 44.6%, respectively. The male gender (OR=0.812,95%CI:0.748~0.881,P＜0.001), advanced degree of education (OR=0.723,95%CI:0.649~0.805,P＜0.001), student (OR=0.816,95%CI:0.695~0.958,P=0.009) were viewed as the protective factors of post-catastrophe stress. While young in  age(OR=1.843,95%CI:1.669~2.034,P＜0.001), divorced status (OR=1.486,95%CI:1.252~1.769,P＜0.001), being in poor physical condition (OR=18.889,95%CI:7.419~48.094,P＜0.001) were the predisposing factors of it. The risk factors for state anxiety and depression underlying the shadow of the COVID-19 epidemic were similar to those of acute stress, notwithstanding there was no significance in the positive detection rate of depression between the genders and no differences in anxiety of diverse educational levels.",2020-03-23,107.0,39.0,2,53.5,Psychological Impact and Predisposing Factors of the Coronavirus Disease 2019 (COVID-19) Pandemic on General Public in China,23.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551415
"Elder patients with more comorbidities and abnormalities in lymphocytes, platelets, prealbumin and myoglobin indicated poor prognosis of NCIP. Leukocytes, high-sensitivity-CRP, IL-6 and ferritin may predict the progression of disease. No evidence supported the effects of corticosteroids and lopinavir-ritonavir in NCIP treatment.",2020-03-23,106.0,25.0,2,53,"Potential Predictors for Disease Progression and Medication Evaluation of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551399
"Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients.",2020-03-18,370.0,16.0,7,52.8571428571429,Follow-Up Study of 131 COVID-19 Discharged Patients: Is the Current Chinese Discharge Criteria Reliable?,83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551342
"The high or moderate risk level of the epidemiological histories and typical features of chest image are the most valuable information for the screening. SARS-CoV-2 nucleic acid test is recommended at least two times for the cases with the above characteristics. Timely detection of children with COVID-19, even those with invisible infection, is of positive significance for the epidemic control.",2020-03-20,264.0,29.0,5,52.8,"Clinical Management of Children with an Epidemiological History of COVID-19: A Report on a Single Center of a General Hospital in Shenzhen, China",67.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551366
"Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally.",2020-03-12,684.0,33.0,13,52.6153846153846,More Effective Strategies are Required to Strengthen Public Awareness of COVID-19: Evidence from Google Trends,180.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550008
"Patients with COVID-19 pneumonia are at risk of APE. When D-dimer remarkable increases, CTPA facilitates the diagnosis of APE and assesses its change during the course. Special attention needs to be paid to the danger of APE associated with COVID-19 infection.",2020-03-10,774.0,21.0,15,51.6,Findings of Acute Pulmonary Embolism in COVID-19 Patients,180.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548771&utm_source=EC&utm_medium=Connect
"SARS-CoV-2 might mainly act on lymphocytes, especially T lymphocytes, and induce a cytokine storm in the body, generate a series of immune responses. Surveillance of NLR and lymphocyte subsets is helpful in the early screening of critical illness, diagnosis and treatment of COVID-19.",2020-03-02,1178.0,23.0,23,51.2173913043478,"Dysregulation of Immune Response in Patients with COVID-19 in Wuhan, China",299.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541136&utm_source=EC&utm_medium=Connect
"Our results suggest that prognosis is unfavorable for severely ill patients with COVID-19. Age, NLR, and LDH are independent predictors of 28-day mortality.",2020-03-23,100.0,17.0,2,50,"Short Term Outcomes and Risk Factors for Mortality in Patients with COVID-19 in Wuhan, China: A Retrospective Study",25.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551390
"Around one-fifth of patients with COVID-19 will progress to severe diseases.Four simple clinical parameters at presentation, namely comorbidity, age, lymphocyte counts and serum ferritin were able to identify a group of patients with low risk of progression. This will greatly facilitate optimal utilization of the very tight medical resources in places with huge patient loads.",2020-02-20,1684.0,15.0,34,49.5294117647059,Clinical Characteristics Predicting Progression of COVID-19,492.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539674&utm_source=EC&utm_medium=Connect
"During late January to mid-February 2020, patients infected with SARS-CoV-2 were mostly non-severe with mild to moderated symptoms in Fujian province and the mortality rate (0·6%) was significantly lower than that in Wuhan. Older patients (&gt;65 years) were more likely to progress as severe cases of COVID-19 than the young (18-65 years).",2020-03-23,99.0,27.0,2,49.5,"Epidemical and Clinical Characteristics of 165 Patients Infected with SARS-CoV-2 in Fujian Province, China",20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551402
" Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems.",2020-03-18,326.0,28.0,7,46.5714285714286,"Assessment of Public Attention, Risk Perception, Emotional and Behavioural Responses to the COVID-19 Outbreak: Social Media Surveillance in China",102.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551338
"As the largest stool samples and the longest monitoring time so far, our study demonstrated that in spite of the virus harbour in the respiratory tract earlier than intestinal tract as 106 patients (77%) showed the first throat swab virus positive and only 22 patients (16%) showed the first stool virus positive in the first 10 days after their disease onset respectively, however, SARS-CoV-2 would harbour in the both respiratory tract and intestinal tract for 10-14 days. In addition, many patients appeared stool RNA positive when their swab RNA had turn negative and we suggested that both throat swabs and stool specimens are needed to absolutely confirm the elimination of the SARS-CoV-2.",2020-03-23,90.0,14.0,2,45,"Clinical Features of Stool SARS-CoV-2 RNA Positive in 137 COVID-19 Patients in Taizhou, China",15.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551383
"Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China.",2020-03-17,357.0,16.0,8,44.625,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",108.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551323
SARS-CoV-2 has great person-to-person transmission capability among close contacts. The secondary cases are more prone to have mild symptoms than index cases. There is no increased RR of secondary infection in blood relatives versus unrelated contacts. The high rate of asymptomatic SARS-CoV-2 infections highlights the urgent need to enhance active case finding strategy for early detection of infectious patients.,2020-03-18,309.0,1.0,7,44.1428571428571,"Clusters of Human Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in a Non-Epidemic Area, China",57.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551388
"The disease course of confirmed patients, which can be evaluated by clinical manifestation and radiological examination results, may not reciprocate mono-directional reversion of positive RT-PCR test results into negative ones. Patients infected with COVID-19 may become asymptomatic in the process of treatment and recovery, combined with promising chest CT findings, however, unpredictable changes in RT-PCR test results between positives and negatives have been identified. Due to the unavailability of quantitative studies and the lack of specific medicine for COVID-19 infected pneumonia, longer periods of hospitalization and quarantine, integrated specimens for RT-PCR test are therefore suggested.",2020-03-23,88.0,32.0,2,44,"The Desynchrony between Clinical Course and RT-PCR Test Results in Patients with COVID-19 Infected Pneumonia During the Treatment in Wuhan, China",20.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551404
"1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future.",2020-03-18,301.0,30.0,7,43,The Response of the Government's Emergency System to the Novel Coronavirus Disease 2019 (COVID-19) Outbreak in China: A Retrospective Comparative Study,81.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551347
"Compared with CT images of GGO in patients with early-stage lung cancer, GGO features in patients with COVID-19 pneumonia have their own characteristics and t he evolution of GGO images corresponds with the progression of disease in a short time. The evaluation of GGO features combined with clinical, epidemiological and laboratory findings would facilitate the early detection and identification of COVID-19 pneumonia.  For the asymptomatic patients with GGO manifestation on CT findings, it is particularly essential to recheck chest CT within one week. Fully understanding the imaging features and differential diagnosis of COVID-19 will facilitate early detection and isolation of patients with SARS-CoV-2.",2020-03-23,86.0,27.0,2,43,"Comparison of Chest CT Images Featured with Ground Grass Opacity between COVID-19 Pneumonia and Early-Stage Lung Cancer in Wuhan,China: A Single-Centered, Retrospective, Observational Study",18.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551427
Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.,2020-03-17,304.0,15.0,8,38,Confusion and Thinking on the Diagnosis and Treatment of Patients with Negative RT-PCR Results for SARS-CoV-2,52.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551322
"As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic.",2020-03-18,265.0,8.0,7,37.8571428571429,Epidemiological and Transmission Patterns of Pregnant Women with 2019 Coronavirus Disease in China,84.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551330
"As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19.",2020-03-17,297.0,11.0,8,37.125,"Emergency Responses to COVID-19 Outbreak: Experiences and Lessons from a General Hospital in Nanjing, China",74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551327
"Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases.",2020-02-27,966.0,2.0,27,35.7777777777778,"Protection of 318 Inflammatory Bowel Disease Patients from the Outbreak and Rapid Spread of COVID-19 Infection in Wuhan, China",229.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543590&utm_source=EC&utm_medium=Connect
