Topic_Num,Topic_Perc_Contrib,Keywords,Text
11.0,0.0911,"low, january, highly, case, lung, consolidation, globally, march, ncip, severity","The outbreak of COVID-19 is predominant in Hubei. The fatality is lower outside Hubei, a reflection of effective quarantine measures and medical care. The underestimated cases due to false-negative nucleic acid tests implies an actual lower fatality than the current estimation. The implication of broadened clinical diagnosis criteria in Hubei results in a sharp upswing in COVID-19 cases yet this could essentially counteract the underestimation of diagnosis and ensure prompt medical intervention to highly suspected cases. The interim gap in the knowledge of the actual dynamics of COVID-19 and heterogeneity of geographic differences need fulfilment by investigation on demographic characteristics and risk factors among population in various regions."
12.0,0.0557,"ncov, confirm, present, control, related, assess, acid, analysis, disparity, common",2019-nCoV infection can present asymptoms type and light type. The real-time RT-PCR assay provide a good method to detect it.
13.0,0.1123,"case, model, cumulative, number, peak, population, incidence, develop, cure, generation","We develop a mathematical model to provide epidemic predictions for the 2019-nCov epidemic in Wuhan, China. We use reported case data up to January 31, 2020 from the Chinese Center for Disease Control and Prevention and the Wuhan Municipal Health Commission to parameterize the model. From the parameterized model we identify the number of unreported cases. We then use the model to project the epidemic forward with varying level of public health interventions. The model predictions emphasize the importance of major public health interventions in controlling 2019-nCov epidemics."
14.0,0.2641,"measure, prevention, strong, period, individual, point, day, expose, beijing, infected",Given that 2019-nCoV could be controlled under the strong prevention measures of what China has taken and it will take about three months. The confirmed infected individuals will still keep quick increasing for 14 days (approximately equal to the sum of exposed period and infection period) after the start time point of control. The strong prevention measures should be insisted until the epidemic Coronavirus. Other domestic places and overseas have confirmed infected individuals should take strong interventions immediately. Earlier strong prevention measures could efficiently stop the independent self-sustaining outbreaks in other cities globally.
15.0,0.2461,"health, care, finding, worker, associate, worldwide, reproduction, transmission, result, protection","Our findings confirmed 2019-nCoV could easily spread through direct personal contact in a hospital setting and provided compelling evidence that health-care facilities worldwide need to be prepared for possible transmission of this novel coronavirus. Medical workers engaging in daily interaction with their fellow workers should be personally under effective protection against the infection. The health-care workers developing any possible associated symptoms should seek prompt medical attention and be duly isolated, thereby minimizing secondary transmission of 2019-nCoV in health-care associated outbreaks. Adequate protection against exposure to infected patients can effectively protect health-care workers from 2019-nCoV infection."
16.0,0.1961,"epidemic, china, hubei_province, february, predict, province, feb, total, expect, quickly","Since the first case of new coronavirus (2019-nCoV) pneumonia appeared in Wuhan, the virus has spread very rapidly in China on December 31st, with Hubei Province having the most severe epidemic situation. As of 24:00 on February 2nd, the cumulative number of confirmed cases in Hubei Province has reached up to 11,177. In this paper, we select the epidemic situation in Hubei Province as the research object to establish the SEIQDR model of infectious diseases. The parameters are determined from the existing data to predict the trend of the cumulative number of confirmed diagnoses, and the parameters are adjusted according to the prevention and control measures as well as possible changes. In comparison with Guangdong Province, where the SARS epidemic originated, it was concluded that the new coronavirus epidemic far exceeds the SARS epidemic in terms of infection rate and deaths. But thanks to the timely and effective prevention and control measures taken by the country, currently the epidemic is under control, and we predict the end of the epidemic is about 60 days earlier than the SARS virus. The total number of confirmed diagnoses in Hubei Province is 26,701 (ranges from 24,355 to 32,406), and the rapid growth period is expected to be from January 27th to February 10, and the epidemic will grow slowly after February 22nd. The growth is expected to stop on March 30th (ranges from March 26th to April 19th)."
17.0,0.0893,"control, strategy, decrease, mainland, stage, implement, public, design, urgently, management","The 2019-nCoV may have a higher pandemic risk than SARS broken out in 2003. The implemented public-health efforts have significantly decreased the pandemic risk of 2019-nCoV. However, more rigorous control and prevention strategies and measures to contain its further spread."
18.0,0.1256,"infection, mild, infect, import, fever, combination, dyspnea, ggo, chest, continue","The overall incubation period in this cohort of imported confirmed 2019-nCoV patients was longer than that in Wuhan, mostly infecting older men. The disease onset of imported 2019-nCoV infection was occult, and the clinical symptoms were usually mild, mostly presenting as low fever, fatigue, light cough, and mild dyspnea."
20.0,0.2364,"sar, cov, pangolin, human, analysis, illness, acid, accord, spread, ongoing","In the late December of 2019, an epidemic pneumonia (announced recently as Corona Virus Disease (COVID-19)) outbreak in city of Wuhan in China and widely spreads all over the world. According to authoritative statistics, the COVID-19 has caused more than 40,000 laboratory-confirmed infections with more than 1000 deaths by 12 February 2020 and is still increasing. It was caused by a novel identified coronavirus 2019-nCoV (renamed this virus as severe acute respiratory syndrome coronavirus 2, SARS-CoV-2). Released complete genomes of 2019-nCoVs have helped rapid identification and diagnosis of the COVID-19. Currently, it is another key task to explore potential intermediate host of SARS-CoV-2, which is vital to control COVID-19 spread. To this end, we re-investigated published data from pangolin lung samples from which SARS-like coronaviruses were detected by Liu et. By both deep assembly and multiple phylogenetic analyses, we found genomic and evolutionary evidences of the occurrence of 2019-nCoV-like coronavirus (named as Pangolin-CoV) from dead Malayan Pangolins. Pangolin-CoV is 91.02% and 90.55% identical at the whole genome level to 2019-nCoV and BatCoV RaTG13, respectively. Pangolin-CoV is the lowest common ancestor of 2019-nCoV and RaTG13. The S1 protein of Pangolin-CoV is much more closely related to 2019-nCoV than RaTG13. Five key amino-acid residues involved in the interaction with human ACE2 are completely consistent between Pangolin-CoV and 2019-nCoV but four amino-acid mutations occur in RaTG13. It indicates Pangolin-CoV has similar pathogenic potential to 2019-nCoV, which would be helpful to trace the origin and probable intermediate host of 2019-nCoV."
21.0,0.0618,"covid, management, january, restriction, characterize, quick, base, writing, efficient, liu","The degree of lymphopenia and a proinflammatory cytokine storm is higher in severe COVID-19 patients than in mild cases, and is associated with the disease severity. N8R may serve as a useful prognostic factor for early identification of severe COVID-19 cases."
22.0,0.1415,"patient, early, contact, isolation, close, nucleic, stage, upro, large, degree","The asymptomatic carriers identified from close contacts were prone to be mildly ill during hospitalization. However, the communicable period could be up to three weeks and the communicated patients could develop severe illness. These results highlighted the importance of close contact tracing and longitudinally surveillance via virus nucleic acid tests. Further isolation recommendation and continuous nucleic acid tests may also be recommended to the patients discharged."
23.0,0.2178,"potential, region, identify, response, viral, immune, attention, process, epitope, term","Effective countermeasures against the recent emergence and rapid expansion of the 2019-Novel Coronavirus (2019-nCoV) require the development of data and tools to understand and monitor viral spread and immune responses. However, little information about the targets of immune responses to 2019-nCoV is available. We used the Immune Epitope Database and Analysis Resource (IEDB) resource to catalog available data related to other coronaviruses, including SARS-CoV, which has high sequence similarity to 2019-nCoV, and is the best-characterized coronavirus in terms of epitope responses. We identified multiple specific regions in 2019-nCoV that have high homology to SARS virus. Parallel bionformatic predictions identified a priori potential B and T cell epitopes for 2019-nCoV. The independent identification of the same regions using two approaches reflects the high probability that these regions are targets for immune recognition of 2019-nCoV."
24.0,0.2619,"prevent, health, reduce, emergency, capacity, require, improve, exist, strengthen, manage","Countries vary widely in terms of their capacity to prevent, detect and control outbreaks, which is underpinned by global variances in the strength of health systems to manage health emergencies. Half of all countries analysed in this study currently have in place operational readiness capacities which should enable an effective response to any potential health emergencies including 2019-nCoV. However, it is crucial to integrate/triangulate findings from local risk assessments to fully understand national readiness capacities in relation to 2019-nCoV. Some countries may require external support if cases are identified and the infection spreads rapidly within their borders. As part of the commitment to the IHR (2005) countries should be implementing capacity building action to strengthen their ability to effectively prevent and manage health emergencies and the application of data analysis can support focused targeting of critical gaps that currently exist. Commitment to IHR (2005) also involves collaboration between States Parties to improve capacities for preventing and managing health emergencies which should also be carried out to improve preparedness. This will strengthen global readiness to contain existing outbreaks including the ongoing international spread of 2019-nCoV."
26.0,0.3364,"test, pcr, sample, rapid, rt, screen, swab, lamp, effort, diagnostic","Novel Corona virus (COVID-19 or 2019-nCoV) is an emerging global health concern that requires a rapid diagnostic test. Quantitative reverse transcription PCR (qRT-PCR) is currently the standard for COVID-19 detection; however, Reverse Transcription Loop-Mediated Isothermal Amplification (RT-LAMP) may allow for faster and cheaper field based testing at point-of-risk. The objective of this study was to develop a rapid screening diagnostic test that could be completed in under 30 minutes. Simulated patient samples were generated by spiking serum, urine, saliva, oropharyngeal swabs, and nasopharyngeal swabs with a portion of the COVID-19 nucleic sequence. The samples were tested using RT-LAMP as well as by conventional qRT-PCR. Specificity of the RT-LAMP was evaluated by also testing against other related coronaviruses. RT-LAMP specifically detected COVID-19 in simulated patient samples. This test was performed in under 30 minutes. This approach could be used for monitoring of exposed individuals or potentially aid with screening efforts in the field and potential ports of entry."
27.0,0.3664,"paper, treatment, virus, method, publish, outbreak, article, cell, journal, give","The novel coronavirus (2019-nCoV) outbreak has been traced in China late 2019 and then was transmitted into more than 25 countries. A total of 49 papers have been published in 20 journals during the last January and current February. These papers tried to explain the source of virus, the transmission route, genomic map and the similarity to previous viruses as well as the pathogenesis, symptoms and treatment methods. The huge numbers of the articles which were published on 2019-nCoV make confusing for the readers, since many of the articles are addressed similar topics. In this paper a systematic analysis was conducted for the published articles. The finding of these papers were summarized. Moreover, the present paper aim to highlight the responses of scientists and Journals for the 2019-nCoV outbreak. This paper reviewed 49 peer viewed articles while hundreds article still in the preprint. It was appeared that the Lancet journal has the highest numbers of publications (29%) which given an early alarm for 2019-nCoV. The first paper suggested Baricitinib as potential treatment for 2019-nCoV acute respiratory disease was published on 3 February in the Lancet Journal. In 16 January 2020, the genomic characteristics of the virus was published, followed by several papers on the diagnostic of the virus, pathogenicity and symptoms was more clear on 29 January. The Nature Journal was the fist which given an alarm for the 2019-nCoV outbreak. In conclusion source of 2019-nCoV, treatment methods, as well as vaccines, pathogenicity of the virus in the patient with HIV or other virus infections, transmission to fetus in the pregnant women still need more investigation."
28.0,0.2465,"population, current, chinese, work, maintain, evaluate, travel, confusion, learning, postpone","The rapid and intensive measures taken by the Chinese government brought Wuhan epidemic under preliminary control. Some factories have resumed work since February 11, 2020, which exist the potential to cause the epidemic to increase again nationwide. In particular, because of the Spring Festival, more than 100 million migrant workers have to rework and 200 million school students at all levels might open the spring semesters. Consequently, its impact on the coronavirus epidemic block should be stressed. The publicity and supervision department should strengthen these two special groups’ epidemic learning and education, monitor their itinerary through a big data platform, and control their health and travel status in real time. It is recommended that migrant workers should not resume their work earlier than Feb. 27, 2020 and the school semester should also postpone to Apr. 1, 2020 at the earliest since large population density of students and their concentrated living and learning place."
29.0,0.1033,"china, wuhan, transmission, area, imply, stay, pyroptosis, important, approach, hunan","The novel coronavirus (2019-nCoV) outbreak in Wuhan city, Hunan Province, China in Dec 2019 and has rapidly spread to the other parts of China. It is important to know what has happened in this epidemic. We analyzed the epidemic curves of 2019-nCoV cases, in mainland China from Jan 23, 2020 to Feb 11, 2020. We found cumulative confirmed cases in this period increased in a fast speed in China. We also observed important disparities in cure ratio(%) and mortality across high-income and low-income areas. Finally, we observed important disparities in cure ratio (%) and mortality across seven regions. Effective prevention and control measures should be taken and the sustained transmission required full attention of public health."
30.0,0.3382,"high, virus, risk, coronaviruse, system, influenza, cv, ace, emerge, angiotensin","Angiotensin-converting enzyme 2 (ACE2) has emerged as a key regulator of the renin-angiotensin system in cardiovascular (CV) disease and plays a pivotal role in coronaviruses and influenza viruses infections. The present review is primarily focused on the findings to indicate the role of ACE2 in the relationship between coronaviruses and influenza viruses with CV disease. It is postulated that the risk of coronavirus or influenza virus infection is high, at least partly, due to high ACE2 expression in population with high CV risk. Coronaviruses and influenza viruses vaccine usage in high CV risk population could be a potential strategy to prevent both CV disease and coronaviruses or influenza viruses infections."
31.0,0.0931,"provide, include, support, image, ground, infection, result, ncov, identification, timely","Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases."
